"t0_hhid","hhid","pid_unps","PID","availablevisit1","ws2aq1a","ws2aq1b_1","ws2aq1b","ws2aq1c","ws2aq2","ws2aq3","ws2aq4","ws2aq5"
"H2990803","3e147b9e732b405fb61098cbcc88c7b5",,2,1,1,1,"1",1,,,,
"H3590501","3e27af60ec544b95b905a8859d6d0382","P35905-006",5,2,,,,,,,,
"H1180501","3e3d3430f77540709618ff463bc590bd","P11805-004",3,1,2,1,"1",2,,,17,
"H3970901","3e45507bc3f745d0adc74333eeed505d","P39709-002",2,1,1,1,"1",1,,,,
"H3970901","3e45507bc3f745d0adc74333eeed505d",,7,1,3,,,,3,,,
"H4180601","3e4c1cb508fe44b4b5898195d7bc941f","P41806-002",5,2,,,,,,,,
"H4180601","3e4c1cb508fe44b4b5898195d7bc941f","P41806-003",3,2,,,,,,,,
"H4180601","3e4c1cb508fe44b4b5898195d7bc941f","P41806-005",2,1,3,,,,3,,,
"H1440101","3e6938ba187e4efb9e39e7b758d9ebfb","P14401-003",2,2,,,,,,,,
"H1251202","3e8c75244fe04d3498a36b2a3a2e5e53",,3,1,2,1,"2",1,,,,
"H2160301","3e9db702e60b4f03a8cdd827cd6a5d13","P21603-002",2,1,1,1,"1",1,,,,
"H2160301","3e9db702e60b4f03a8cdd827cd6a5d13","P21603-005",5,1,3,,,,3,,,
"H1830301","3f03088b9f2d4a4bb17f4c2b08eb006b","P18303-002",2,1,1,1,"1",1,,,,
"H2640502","3f39cc086d5f4cd383549baf15963bec","P26405-005",1,1,1,2,,1,,,,
"H4190301","3f6545afa9a540a78a150779fd1f095e","P41903-002",2,1,1,1,"1",1,,,,
"H3210501","3f883779aa6e46ea96315b4730bdeb1c","P32105-004",3,1,1,1,"1",1,,,,
"H1530501","3f90136eef684fcaa9ba2f718da491a1","P15305-002",2,1,1,1,"1",1,,,,
"H2031002","3fbb9915c5764445beae0fa75a509187","P20310-011",1,1,2,1,"3",2,,,18,
"H0420401","3fbba4bc945f48e5b07ccf0a706d2194","P04204-003",3,2,,,,,,,,
"H0420401","3fbba4bc945f48e5b07ccf0a706d2194","P04204-002",2,1,1,1,"1",1,,,,
"H3840101","3fe7a463a074406f82c1475a5c28e730",,1,1,1,1,"6",1,,,,
"H3510301","3ff65bff324d43daaba32def1e823094","P35103-002",2,1,1,1,"1",1,,,,
"H3510301","3ff65bff324d43daaba32def1e823094","P35103-005",5,2,,,,,,,,
"H3510301","3ff65bff324d43daaba32def1e823094","P35103-004",4,1,3,,,,3,,,
"H0830303","4005ca994f814faabd4e69f7d2aacf9e",,1,1,2,2,,1,,,,
"H1650501","401b7c77260b4e568263be05b47bfc5d","P16505-007",4,1,3,,,,3,,,
"H1650501","401b7c77260b4e568263be05b47bfc5d","P16505-009",9,2,,,,,,,,
"H2990701","403276b5d7af41ccbab65f788ad3fa48","P29907-003",3,1,3,,,,3,,,
"H2990701","403276b5d7af41ccbab65f788ad3fa48","P29907-002",2,1,1,1,"1",1,,,,
"H3650301","40466451b19e45e3b302cd2e9f46fc10","P36503-002",2,1,1,1,"1",1,,,,
"H2030301","404b2c86291e436c8145265500cb41af","P20303-002",2,1,1,1,"1",1,,,,
"H1940101","4074d14cddb64a649e69a08c760028a9","P19401-005",5,1,,,,,,,,
"H1940101","4074d14cddb64a649e69a08c760028a9","P19401-002",2,1,1,1,"1",2,,,16,
"H2850602","408b979bb12a41bb8fdb8c6e481cd23e","P28506-007",6,2,,,,,,,,
"H2850602","408b979bb12a41bb8fdb8c6e481cd23e","P28506-004",3,2,,,,,,,,
"H3320201","40a57ec658a24b558bb2970cefb571bf",,14,2,,,,,,,,
"H3320201","40a57ec658a24b558bb2970cefb571bf",,4,2,,,,,,,,
"H3320201","40a57ec658a24b558bb2970cefb571bf",,11,2,,,,,,,,
"H3901001","40a81ad95c0146408ed50a768977f610","P39010-001",1,1,2,2,,2,,,16,
"H2921001","40c5813f797b4a6da49897941299545e","P29210-002",1,1,3,,,,2,3,16,"24"
"H3620701","40d7b4caf61141c283c28cfc781b6434","P36207-005",5,1,2,1,"1",1,,,,
"H3840601","4103779cb40b4a70a530c2fe4af75b66",,3,1,2,1,"2",2,,,19,
"H3830101","410ccdd68e694cad805ee3c3db209054","P38301-002",1,1,1,1,"4",2,,,29,
"H3390301","41104a79c99f49ac83df63ff521ab038","P33903-002",2,1,2,1,"1",1,,,,
"H2810501","415955acb18846569b50042e9abfb8d4",,9,1,3,,,,3,,,
"H2810501","415955acb18846569b50042e9abfb8d4","P28105-002",2,1,1,1,"1",1,,,,
"H0260201","419ccafc23034660803d27943dc103b7","P02602-017",15,2,,,,,,,,
"H0260201","419ccafc23034660803d27943dc103b7","P02602-005",5,1,3,,,,1,1,20,"64"
"H0260201","419ccafc23034660803d27943dc103b7","P02602-009",9,2,,,,,,,,
"H1920301","41bb9a751f6e457daba39b06f6ad373a",,5,2,,,,,,,,
"H1920301","41bb9a751f6e457daba39b06f6ad373a",,1,1,1,1,"6",1,,,,
"H0810301","41e2ca525f8c47bb8ed1cd9fc94325f1",,7,1,3,,,,3,,,
"H0810301","41e2ca525f8c47bb8ed1cd9fc94325f1",,1,1,1,2,,2,,,26,
"H1900102","4204ad8a9fcc43f2a294d012f4e6c131","P19001-008",2,1,1,1,"1",1,,,,
"H3730902","420750aef42a46139e6eb109f0fc28c1","P37309-002",1,1,3,,,,1,2,20,"25"
"H2060602","428fa9e59dac4f5e8644b24a1530beed","P20606-016",7,1,2,1,"9",2,,,16,
"H3071001","429142a752bd41399cc170fbdfccb639",,11,2,,,,,,,,
"H3550402","429582d862904d3f8aff6b20a922100c","P35504-002",1,1,1,1,"3",1,,,,
"H1411101","42a0ee688aaa4c1ea3c20df5169d6afe",,6,2,,,,,,,,
"H1411101","42a0ee688aaa4c1ea3c20df5169d6afe",,3,1,3,,,,3,,,
"H3950101","42a9b9883194492d88ec0be4272999dc","P39501-005",5,1,3,,,,3,,,
"H3950101","42a9b9883194492d88ec0be4272999dc","P39501-003",3,2,,,,,,,,
"H3950101","42a9b9883194492d88ec0be4272999dc",,10,1,3,,,,2,3,20,"28"
"H3950101","42a9b9883194492d88ec0be4272999dc","P39501-006",6,2,,,,,,,,
"H2740901","42ba387b8cfe40ba9ea70061853db882","P27409-002",2,1,1,1,"1",1,,,,
"H2740901","42ba387b8cfe40ba9ea70061853db882","P27409-003",3,2,,,,,,,,
"H3990401","42c2a82d6c0741bba303cc2db4f764f9",,2,1,3,,,,1,3,19,"23"
"H1300701","42cb63d9ad9a4ec0818c8bb7163118d8","P13007-002",2,1,1,1,"1",1,,,,
"H1301002","42d0fc47682646d59cb2e649862cb2eb","P13010-011",1,1,1,1,"2",1,,,,
"H3250601","42df2df4c8764cf39fff5ab4630f0db3","P32506-002",2,1,2,1,"1",1,,,,
"H0510901","42f2fba1f847493ca9917da48c597d49","P05109-004",3,2,,,,,,,,
"H0510901","42f2fba1f847493ca9917da48c597d49","P05109-006",4,2,,,,,,,,
"H0360501","43001ca4b9d9497b8e5fde162eaae64b","P03605-003",1,1,3,,,,3,,,
"H0750206","434b61c69cbd45f5a99e17259eab3a71",,9,1,3,,,,3,,,
"H0750206","434b61c69cbd45f5a99e17259eab3a71","P07502-036",7,2,,,,,,,,
"H0750206","434b61c69cbd45f5a99e17259eab3a71","P07502-034",5,1,3,,,,3,,,
"H4150901","43501f8834394ce1a21b2c4e6f422a54",,4,1,1,2,,1,,,,
"H4150901","43501f8834394ce1a21b2c4e6f422a54",,1,2,,,,,,,,
"##N/A##","435aad8bd25744e69e6d88b433715d15",,2,1,2,1,"1",1,,,,
"24","436745efc56f4db89ab6aa60196163d1",,2,1,1,1,"1",1,,,,
"24","436745efc56f4db89ab6aa60196163d1",,5,2,,,,,,,,
"H1970501","436d5a4853f24a4c896bd405a221f328","P19705-004",4,1,3,,,,3,,,
"H1970501","436d5a4853f24a4c896bd405a221f328","P19705-002",2,1,2,1,"1",2,,,15,
"H2310801","43740425c7ed4521948da92a624d6457","P23108-002",2,1,1,1,"1",1,,,,
"H2310801","43740425c7ed4521948da92a624d6457","P23108-005",4,1,3,,,,3,,,
"H3620301","437cdf4cefbd47208506638b5430432d","P36203-008",8,2,,,,,,,,
"H3620301","437cdf4cefbd47208506638b5430432d","P36203-009",9,2,,,,,,,,
"H3620301","437cdf4cefbd47208506638b5430432d","P36203-001",1,1,3,,,,1,1,16,"20"
"H2850201","439ea3100826494ea35cf8f7adfb5e51","P28502-003",5,1,3,,,,3,,,
"H2850201","439ea3100826494ea35cf8f7adfb5e51","P28502-002",1,1,1,2,,1,,,,
"18","43bf4533dc2b43d8838108888e1cc24e",,11,1,3,,,,3,,,
"18","43bf4533dc2b43d8838108888e1cc24e",,2,1,1,1,"1",1,,,,
"18","43bf4533dc2b43d8838108888e1cc24e",,4,1,3,,,,3,,,
"18","43bf4533dc2b43d8838108888e1cc24e",,3,1,3,,,,3,,,
"18","43bf4533dc2b43d8838108888e1cc24e",,5,1,3,,,,3,,,
"18","43bf4533dc2b43d8838108888e1cc24e",,7,2,,,,,,,,
"H3790801","43e411ad054143709780adcc6cb940b5","P37908-002",2,1,1,1,"1",1,,,,
"H3790801","43e411ad054143709780adcc6cb940b5","P37908-008",7,2,,,,,,,,
"H4280701","43ea5b8fad1844be9e990d6ae546d0aa","P42807-002",2,1,1,1,"1",1,,,,
"H4020302","43f5ac4b06af4615bab925b452355111",,1,1,2,2,,1,,,,
"H1720601","441cda37b3414e07a6593efba2c48717","P17206-002",2,1,1,1,"1",1,,,,
"H3081001","4420e0e33301401ea321282980ad9272","P30810-001",1,1,1,2,,2,,,16,
"H2900501","442347a5ace74b9c9a775c66d41ba181",,7,1,2,1,"1",2,,,16,
"H2920802","444e4e1912d64acda005a645ac29d20e",,7,1,2,1,"1",2,,,19,
"H2390201","447eac4627444ec1bea1f94f10d20ac8","P23902-003",3,1,3,,,,1,3,18,"30"
"H4120901","44b50c08f9bd4898a926473fba467d91","P41209-002",1,1,2,1,"3",2,,,15,
"H1150901","44de24a3bcdf461e9450d690def9a5a6","P11509-006",6,2,,,,,,,,
"H1150901","44de24a3bcdf461e9450d690def9a5a6","P11509-002",2,1,1,1,"1",1,,,,
"H1150901","44de24a3bcdf461e9450d690def9a5a6","P11509-009",9,2,,,,,,,,
"H3680601","44ebea5645ea4fe2b4e1003dfcd112ef",,1,1,1,1,"8",2,,,14,
"H0611001","44f254ed3f314b7587a84edb490fc15d",,7,1,3,,,,2,3,18,"20"
"H0611001","44f254ed3f314b7587a84edb490fc15d","P06110-002",1,2,,,,,,,,
"H0840201","44fae2260208482594b1e35af2c87624","P08402-001",1,1,3,,,,2,1,16,"20"
"H1821001","452b8abf16324dc0a9f0bd2374eccbae","P18210-004",3,1,3,,,,3,,,
"H1821001","452b8abf16324dc0a9f0bd2374eccbae","P18210-002",2,1,1,1,"1",1,,,,
"H1821001","452b8abf16324dc0a9f0bd2374eccbae","P18210-006",5,2,,,,,,,,
"H1821001","452b8abf16324dc0a9f0bd2374eccbae","P18210-005",4,2,,,,,,,,
"H2960206","454b1e662fdb4fad8865a9e7168c80fa",,2,2,,,,,,,,
"H3250701","456941dae8f046ea97868f32c3120145",,3,1,1,1,"1",2,,,16,
"H3900801","456c4b5334b2497195b10c1285eb9ff6",,3,2,,,,,,,,
"H0880501","4598bcd95ee3428b98fdbb4bf4bf0831","P08805-011",3,1,3,,,,1,3,20,"22"
"H3910501","45b626e85ac24e50939037995cb50c55","P39105-001",1,1,1,2,,1,,,,
"H4121001","45e2ee95fc5d43209952a116c1df9f91","P41210-001",1,1,3,,,,2,3,24,"38"
"H1400701","45ffec175cab46ff95d72b6f6f651b39","P14007-020",7,2,,,,,,,,
"H1400701","45ffec175cab46ff95d72b6f6f651b39",,10,1,1,1,"3",1,,,,
"H3800101","46148e9cac444dd29d783073cf99257a",,10,2,,,,,,,,
"H3800101","46148e9cac444dd29d783073cf99257a","P38001-002",2,1,1,1,"1",2,,,16,
"H3830201","46235a9f1237490b8d6433136a08bd86",,2,1,1,1,"1",1,,,,
"H3610601","468e3f6ef60a49e1b311c81dabce6226","P36106-001",1,1,1,1,"2",1,,,,
"H1920501","46ab1f5be0f440e487a0392b39355056",,2,1,2,2,,2,,,15,
"H1920501","46ab1f5be0f440e487a0392b39355056",,6,1,3,,,,3,,,
"H0501001","46b08237f3294fbf81555bb0ac51ecf8",,1,1,2,1,"7",1,,,,
"H1460101","46b5fbc14f5444edb489b06f4305e851","P14601-002",2,1,1,1,"1",1,,,,
"H0630301","46c178409da54f979ef66829c18f853a","P06303-003",2,1,3,,,,2,3,18,"20"
"H2920804","46c75559ccb44ebf89eedefa432db56f","P29208-004",1,1,1,1,"2",1,,,,
"H1481001","4705b49e9d2943b4a56d90016672e079","P14810-005",4,2,,,,,,,,
"H1481001","4705b49e9d2943b4a56d90016672e079","P14810-002",2,1,1,1,"1",2,,,18,
"H4160801","470e17533ccf4f868089ce4a3f8b9524","P41608-002",2,1,1,1,"1",1,,,,
"H1630502","471d44ec2f89422e90c75f16e4bbe19f","P16305-005",2,1,1,2,,1,,,,
"H3320101","4744755a091648359b3febff5281d02c","P33201-002",1,1,2,1,"3",1,,,,
"H3320101","4744755a091648359b3febff5281d02c",,8,1,3,,,,3,,,
"H3320101","4744755a091648359b3febff5281d02c","P33201-006",6,1,3,,,,3,,,
"H1910401","4767c50c4b1d4fb19200671c732d3336",,5,1,2,1,"2",1,,,,
"H2171002","476c397ab85342c09f4541d690f4c150",,2,1,1,1,"1",1,,,,
"H2110801","477360319e3b4caaac9c57d73c0a901b",,17,1,3,,,,2,3,17,"20"
"H2110801","477360319e3b4caaac9c57d73c0a901b",,12,1,3,,,,3,,,
"H2110801","477360319e3b4caaac9c57d73c0a901b","P21108-008",8,1,3,,,,3,,,
"H4270201","479c32b9044c44bfb3fbaab3de5b1950","P42702-002",2,1,2,1,"1",1,,,,
"H3030403","479f4db7643b44ca9d207aa5990a646a",,2,1,1,1,"1",1,,,,
"H4200401","47b0ebb1f9cd4d988a684982758920f8","P42004-009",8,2,,,,,,,,
"H4200401","47b0ebb1f9cd4d988a684982758920f8","P42004-008",7,2,,,,,,,,
"H3750901","47d69bd96a9d4f9997891303469af8a6","P37509-002",2,2,,,,,,,,
"H3960201","47d9c355ee5f46e682a7da679dd2fc43","P39602-001",1,1,3,,,,1,1,15,"16"
"H3960201","47d9c355ee5f46e682a7da679dd2fc43","P39602-002",2,2,,,,,,,,
"H2350601","4800775f1b474d6f9d520e72aa13835b","P23506-019",12,1,3,,,,3,,,
"H2350601","4800775f1b474d6f9d520e72aa13835b","P23506-002",2,1,2,1,"1",1,,,,
"H2350601","4800775f1b474d6f9d520e72aa13835b",,13,1,2,1,"7",1,,,,
"H2350601","4800775f1b474d6f9d520e72aa13835b",,14,1,3,,,,2,3,15,"40"
"H2650201","4813d1b6fd624686bea922bb2a7b15c0","P26502-007",3,1,3,,,,1,3,25,"28"
"H3750501","486739652807472c83803fc4a0273b73","P37505-007",6,1,3,,,,3,,,
"H3750501","486739652807472c83803fc4a0273b73","P37505-002",2,1,3,,,,2,1,18,"22"
"H0840902","48849264132e4546adaf2b058a5a03f1","P08409-016",2,1,1,1,"1",1,,,,
"H2370803","4887460ccd5247eba70a03cf7e9601d8","P23708-010",2,1,1,1,"1",1,,,,
"H3420901","48b8a639028a46f78490c905d591c675","P34209-002",2,1,2,1,"1",1,,,,
"H3450801","48dbe140ca1a496d91b933bd803796b4","P34508-002",2,2,,,,,,,,
"H3450801","48dbe140ca1a496d91b933bd803796b4","P34508-001",1,1,3,,,,2,1,15,"25"
"H2330301","49035e3c71464389b22369ebb2ec7573","P23303-008",6,1,2,2,,1,,,,
"H2330301","49035e3c71464389b22369ebb2ec7573","P23303-004",4,1,3,,,,3,,,
"H1940701","4917418dce494d69876e940228352d6a","P19407-002",2,1,1,1,"1",1,,,,
"H2050801","4944e273d5224ecdb7bfabac6441bda8","P20508-010",4,1,1,1,"2",2,,,15,
"H2480601","494dad59f5164b0f9ac2190f3dc241d8","P24806-003",3,2,,,,,,,,
"H2480601","494dad59f5164b0f9ac2190f3dc241d8","P24806-004",4,2,,,,,,,,
"H2480601","494dad59f5164b0f9ac2190f3dc241d8",,7,2,,,,,,,,
"H2081101","498d82ebd1c94ba2a264741a4324c6a4","P20811-004",3,1,3,,,,3,,,
"H2250501","49929536f6b141e0ad8f8a5e673a54e4","P22505-003",3,1,3,,,,3,,,
"H2250501","49929536f6b141e0ad8f8a5e673a54e4","P22505-002",2,1,1,1,"1",1,,,,
"H3700601","49ee2e75ae174b5aa6dc9f5741f5eb7a","P37006-002",2,1,1,1,"1",1,,,,
"H3060401","49ee9daaeeb64bfe99182bc63a351dfd","P30604-002",2,2,,,,,,,,
"H0211001","49f702073f024c4f862a92d891c23109","P02110-002",6,1,1,1,"1",1,,,,
"H0211001","49f702073f024c4f862a92d891c23109","P02110-003",4,1,3,,,,1,3,20,"30"
"H2641001","4a13642fc2fd47cba3c3707c86ccfc73",,12,1,2,1,"5",1,,,,
"H2641001","4a13642fc2fd47cba3c3707c86ccfc73","P26410-004",4,1,2,2,,2,,,16,
"H2641001","4a13642fc2fd47cba3c3707c86ccfc73","P26410-006",6,2,,,,,,,,
"H2641001","4a13642fc2fd47cba3c3707c86ccfc73","P26410-007",7,2,,,,,,,,
"H3730301","4a1f47b4e0444a02b783530ac4fbbd54","P37303-001",1,1,1,2,,1,,,,
"H3730301","4a1f47b4e0444a02b783530ac4fbbd54","P37303-007",6,1,3,,,,3,,,
"H3730301","4a1f47b4e0444a02b783530ac4fbbd54","P37303-006",5,1,3,,,,3,,,
"H3730301","4a1f47b4e0444a02b783530ac4fbbd54",,8,2,,,,,,,,
"H1940902","4a20f25ef3f6440bbf6cce29af503afe","P19409-003",6,1,1,1,"5",1,,,,
"H2200406","4a23d43ed4c340639f2afaeb8f602adc","P22004-006",1,1,1,1,"2",1,,,,
"H2090802","4a63af9d010042ddb932706d530f42d7",,1,1,3,,,,1,3,15,"30"
"H3081004","4a851bf25798465882cdc9105ec4812d",,2,1,1,1,"1",1,,,,
"H1720701","4a899068f46245da9117762d2ca428fd","P17207-002",2,1,1,1,"1",1,,,,
"H1720701","4a899068f46245da9117762d2ca428fd","P17207-007",6,2,,,,,,,,
"H2310401","4aa06d915f29416d9557ae8ed0e9360c","P23104-005",2,1,3,,,,3,,,
"H2310401","4aa06d915f29416d9557ae8ed0e9360c","P23104-001",1,1,3,,,,1,1,20,"23"
"H2310401","4aa06d915f29416d9557ae8ed0e9360c","P23104-006",3,1,3,,,,3,,,
"H4030701","4aab0c498c254688ad6c84da4de8063e","P40307-008",7,1,3,,,,3,,,
"H4030701","4aab0c498c254688ad6c84da4de8063e",,10,1,2,2,,1,,,,
"H4030701","4aab0c498c254688ad6c84da4de8063e","P40307-009",8,1,3,,,,2,3,19,"23"
"31","4ab7a90acfb145308436c06ffd29db81",,3,1,3,,,,3,,,
"31","4ab7a90acfb145308436c06ffd29db81",,7,1,3,,,,3,,,
"H2630502","4ac55f9511c249788e31b82f62b6e15f","P26305-008",1,1,2,1,"2",1,,,,
"H2630502","4ac55f9511c249788e31b82f62b6e15f",,5,2,,,,,,,,
"H1020102","4aefb5316fe7419f9790a44832cf80fd","P10201-009",3,1,1,1,"2",2,,,17,
"H1900101","4b0364703cb2492f8cb2bc0ed7d0c904","P19001-002",2,1,1,1,"1",1,,,,
"H1300402","4b3167d435b64ff88f707092c3bf6efd","P13004-020",2,1,1,1,"1",1,,,,
"H3210305","4b4029fe24eb48b68268dac97807f243","P32103-004",1,1,3,,,,3,,,
"H2560910","4b4e8f3514bb4e5a85b262793b999aef",,2,1,1,1,"1",1,,,,
"H3421001","4b52f35b343b4220846276e621995055","P34210-002",2,1,1,1,"1",1,,,,
"H3910401","4b54ec189b39476582f02f0f738e0b0e","P39104-002",2,1,1,1,"1",1,,,,
"H3030401","4b63cfc4610041c5a3a9138e7df0ecd0","P30304-001",3,2,,,,,,,,
"H0830204","4b6c858c5cd64c2fb587ff8fd39b792c","P08302-021",6,1,3,,,,3,,,
"H0830204","4b6c858c5cd64c2fb587ff8fd39b792c","P08302-018",3,1,1,1,"2",1,,,,
"H1240801","4b768c5d5c20471abb7dda957b1fa202","P12408-003",1,2,,,,,,,,
"H1240801","4b768c5d5c20471abb7dda957b1fa202","P12408-001",5,1,3,,,,1,1,21,"38"
"H1240801","4b768c5d5c20471abb7dda957b1fa202","P12408-004",6,2,,,,,,,,
"H3110903","4bbe3717081940c08f1bd6b5197a898a",,8,2,,,,,,,,
"H3110903","4bbe3717081940c08f1bd6b5197a898a","P31109-009",3,2,,,,,,,,
"H3110903","4bbe3717081940c08f1bd6b5197a898a","P31109-008",2,1,1,1,"1",2,,,15,
"H3110501","4be8baf668ed4356bd768021e74a90b6","P31105-003",3,1,3,,,,3,,,
"H3110501","4be8baf668ed4356bd768021e74a90b6","P31105-002",2,1,1,1,"1",1,,,,
"H3940601","4c1c1d6d95a4499d8286fe7809bb58d5","P39406-001",1,1,1,1,"2",1,,,,
"H2900601","4c20662c4f794587a3174dae44d6f9e6","P29006-002",2,1,2,1,"1",1,,,,
"H0840801","4c7406b949ec470caa6013420fe234e4","P08408-002",2,1,1,2,,2,,,14,
"H3900301","4c96190563cd4b59b16f51d95a6450cd","P39003-002",2,1,1,1,"1",1,,,,
"H2900301","4cb73bf76bd644aba3f63de07c13a811","P29003-006",6,2,,,,,,,,
"H2900301","4cb73bf76bd644aba3f63de07c13a811","P29003-002",2,2,,,,,,,,
"H2900301","4cb73bf76bd644aba3f63de07c13a811","P29003-004",4,1,3,,,,3,,,
"H2921002","4cb7665bda534e53ab0e6874854016af","P29210-008",6,2,,,,,,,,
"H2921002","4cb7665bda534e53ab0e6874854016af","P29210-019",8,2,,,,,,,,
"H2921002","4cb7665bda534e53ab0e6874854016af","P29210-001",7,1,3,,,,1,3,19,"40"
"H0341001","4cc2184696104ac6853ae16983215509","P03410-009",8,1,3,,,,3,,,
"H0341001","4cc2184696104ac6853ae16983215509","P03410-002",2,1,1,1,"1",1,,,,
"H0590904","4cd25d1d49044d23a4cc4abc16574a7a",,6,2,,,,,,,,
"H0590904","4cd25d1d49044d23a4cc4abc16574a7a","P05909-013",1,1,2,1,"2",1,,,,
"H3190102","4cfc17444f5347f2b63940f96adcfdff",,1,1,3,,,,2,3,18,"26"
"H1331007","4cfe8de2e5b446c19e97e2d45d452f1a","P13310-075",3,1,1,1,"2",1,,,,
"H1650102","4d0cc584b9b945f8bc1674879d356ed0","P16501-006",3,1,3,,,,3,,,
"H1650102","4d0cc584b9b945f8bc1674879d356ed0","P16501-007",4,1,3,,,,3,,,
"H3760901","4d28dc5239ff4271ba29f047ba35bb93",,6,1,2,2,,1,,,,
"H2740202","4d5a9462583944a89ea26912a46705e1","P27402-004",1,1,1,1,"5",1,,,,
"H0400101","4d97ad6fd2a24b30b9d084a5e753beef","P04001-002",2,1,3,,,,2,3,20,"45"
"H1101001","4da7779feee14aa1bfde570a9fbcfe11","P11010-002",2,1,1,1,"1",1,,,,
"H1101001","4da7779feee14aa1bfde570a9fbcfe11","P11010-006",5,2,,,,,,,,
"H1101001","4da7779feee14aa1bfde570a9fbcfe11","P11010-005",4,2,,,,,,,,
"H2560201","4dade31873bb4bd792d064cfb6ad3d3f",,5,1,3,,,,3,,,
"H2560201","4dade31873bb4bd792d064cfb6ad3d3f",,1,1,1,1,"6",1,,,,
"H2560201","4dade31873bb4bd792d064cfb6ad3d3f",,4,1,3,,,,3,,,
"H2450701","4db1230ae2a74d1b9fdcc15e87262b26","P24507-003",3,2,,,,,,,,
"H3710401","4ddf01aa2693481dac6c13d771e5a1b7","P37104-004",4,2,,,,,,,,
"H3710401","4ddf01aa2693481dac6c13d771e5a1b7","P37104-002",2,1,1,1,"1",1,,,,
"H2980101","4df0393b234448c4a01934c4b561190d","P29801-002",2,1,1,1,"1",1,,,,
"H2980101","4df0393b234448c4a01934c4b561190d","P29801-004",4,2,,,,,,,,
"H0910503","4e0ff2fb7fb74bd3a7d95c0a4f152141",,2,1,1,1,"1",1,,,,
"H0990901","4e2424dc07714ba89d16e85c276e5ff3","P09909-001",1,1,3,,,,2,3,17,"24"
"H0990901","4e2424dc07714ba89d16e85c276e5ff3","P09909-003",3,1,3,,,,3,,,
"H0990901","4e2424dc07714ba89d16e85c276e5ff3","P09909-004",4,1,3,,,,3,,,
"H0600901","4e5f64a99c6547cf94b40d8e18f8c889","P06009-002",2,1,1,1,"1",1,,,,
"H0600901","4e5f64a99c6547cf94b40d8e18f8c889","P06009-003",3,2,,,,,,,,
"H3080601","4e78d6ff1df745efac7e6c34dcdc4994","P30806-002",2,1,1,1,"1",2,,,16,
"H1480201","4e79b8455c794fe28a3ee745cd1fa4c5",,10,1,3,,,,3,,,
"H2381101","4e7d4359e4514f5abdc22cfd16d32505","P23811-002",2,2,,,,,,,,
"H2450501","4eb0432f6866446386b93a29fe01819b",,6,1,,,,,,,,
"H2450501","4eb0432f6866446386b93a29fe01819b",,2,1,,,,,,,,
"H2450501","4eb0432f6866446386b93a29fe01819b",,1,1,1,1,"14",2,,,18,
"H2450501","4eb0432f6866446386b93a29fe01819b",,4,2,,,,,,,,
"H2640602","4eb8fe775c964ecaa2173d058d32d891",,2,1,2,1,"1",1,,,,
"H2381201","4edcad8b3a6748df9de10555a6d895a6","P23812-007",4,2,,,,,,,,
"H4060901","4f150ebd6b314aa4aa85672ecaa9cb78","P40609-001",1,1,2,2,,1,,,,
"H2360301","4f2dcc04814146faabcbbfe91f264293",,2,1,1,1,"1",1,,,,
"H2810201","4f38a22ae3f949d18b63a284cec6b940","P28102-005",5,2,,,,,,,,
"H2810201","4f38a22ae3f949d18b63a284cec6b940","P28102-002",2,1,2,1,"1",1,,,,
"H2810201","4f38a22ae3f949d18b63a284cec6b940","P28102-003",3,2,,,,,,,,
"H2230903","4f4294cb30ab4b30bf4121edd3b12731","P22309-017",2,1,1,1,"1",1,,,,
"H0880101","4f76ba5e16a9441aabf37393c59f70ad","P08801-002",1,1,1,2,,2,,,23,
"H2790903","4fb03625fa6241a8895622252c8bd2fd",,2,1,2,1,"1",1,,,,
"H2420501","4fe323b06d52415ca709b9bfe2ccd6e4",,4,2,,,,,,,,
"H3600201","4fefdeb781e14c41b4f9591ce9945099","P36002-002",2,1,1,1,"1",1,,,,
"H3980601","4ffcc839141344d2874e764968ce4a38","P39806-002",2,1,1,1,"1",1,,,,
"H3900201","502b017b69b44342b471dc57841a4f81","P39002-002",2,2,,,,,,,,
"H2250301","509eb755c5a54c8fad034999b11dee0b","P22503-009",5,1,3,,,,3,,,
"H2590501","50cfe160f7114ed0a8aa5caf975ab144","P25905-006",5,1,3,,,,3,,,
"H3490601","50d5c47ccfcf4a92aa093bcc17656a44","P34906-002",2,1,1,1,"1",1,,,,
"H4190401","50dc5a07aa6542fbab5b268281a51995","P41904-001",1,1,1,2,,1,,,,
"H3390901","5114b9a6e8ab4f5e84b3ce709c027faf","P33909-001",1,1,2,2,,2,,,24,
"H1820201","5117c5f2b3314943a8d2dab3f3f795d1","P18202-008",1,1,3,,,,1,3,14,"20"
"H3400801","51424b1008114c4794f485af056a43ec","P34008-002",2,1,2,1,"1",1,,,,
"H3880102","5153e73e0c524fb8a9dc253e0fe9fb8d",,3,2,,,,,,,,
"H3820501","51692e6761e14a3e877e646e70c8e960","P38205-001",1,1,3,,,,2,3,18,"22"
"H4111001","516988a84f7b4cb6ac63bbb50fe643aa","P41110-002",2,2,,,,,,,,
"H3060503","51875a7c905d4bd586d69cea53eb0a1b",,1,1,3,,,,3,,,
"H0160101","51b75d7c4ac54a85b5406d69f3c3e020","P01601-007",1,1,2,1,"3",1,,,,
