"t0_hhid","hhid","s10q13","s10q15a","s10q15b","s10q15c","s10q16","s10q17a","s10q17b","s10q17c","s10q14"
"H2080401","e94aa6859dd04e1ab0e6e4c4208ba8f7",4,2,1,2,1,3200,8,16,1
"H3940101","e9651c8f6e0e46e0a06aea236af32dbc",1,1,2,2,6,,,,1
"H3380201","e9669798567f40eda7dda257201caa1c",6,1,2,2,2,25000,1,4,1
"H3380201","e9669798567f40eda7dda257201caa1c",7,2,1,2,,,,,1
"H1461201","e970bd785ccf47f9bdd0229cb2a8fe70",6,1,2,2,2,70000,1,7,1
"H1461201","e970bd785ccf47f9bdd0229cb2a8fe70",8,1,2,2,,,,,1
"H3400301","e989ce38013d4150b9ebdeea706c51e2",1,1,2,2,6,,,,1
"H3400301","e989ce38013d4150b9ebdeea706c51e2",6,1,2,2,2,3000,3,8,1
"H3400301","e989ce38013d4150b9ebdeea706c51e2",7,2,1,2,,,,,1
"H3960402","e9d212e9ec664ab4b8f097a23ef686a5",1,1,1,1,6,,,,1
"H1900802","ea01d5e8f08f4443950e8d001f2ee555",1,1,2,2,6,,,,1
"H1900802","ea01d5e8f08f4443950e8d001f2ee555",7,2,1,2,,,,,1
"H3370901","ea26df7d299d41a9a05fb1c252dc8c0b",1,1,2,2,6,,,,1
"H0530402","ea28d0b7ecea4af3896b7d5442d731b0",1,1,2,2,6,,,,1
"H0530402","ea28d0b7ecea4af3896b7d5442d731b0",4,2,1,2,1,9000,90,15,1
"H0530402","ea28d0b7ecea4af3896b7d5442d731b0",6,1,2,2,2,14000,2,96,1
"H4160901","ea3950d8287d45028fc4b7bd56000528",6,1,2,2,1,12000,12,11,1
"H1331004","ea397e6db951493a97da7aff4ab3e8bd",1,1,2,2,5,,,,1
"H1331004","ea397e6db951493a97da7aff4ab3e8bd",4,2,1,2,1,3000,1,2,1
"H1331004","ea397e6db951493a97da7aff4ab3e8bd",6,1,2,2,6,,,,1
"H1331004","ea397e6db951493a97da7aff4ab3e8bd",7,2,1,2,,,,,1
"H2280601","ea4c617692c24326a31fea0bea550b07",1,1,2,2,5,,,,1
"H2280601","ea4c617692c24326a31fea0bea550b07",3,1,2,2,5,,,,1
"H2280601","ea4c617692c24326a31fea0bea550b07",9,,1,,2,2000,,,
"H0590603","ea58e5e4a09245a8b9643cf0668822da",1,1,2,2,6,,,,1
"H0590603","ea58e5e4a09245a8b9643cf0668822da",6,1,2,2,2,20000,1,6,1
"H0590603","ea58e5e4a09245a8b9643cf0668822da",7,2,1,2,,,,,1
"H1440202","ea659d0ef762451290ac0940bbb82a92",1,1,2,2,6,,,,1
"H1440202","ea659d0ef762451290ac0940bbb82a92",3,1,2,2,5,,,,1
"H1440202","ea659d0ef762451290ac0940bbb82a92",9,,1,,1,1000,,,
"H3700301","ea6d249015ea43fdbb8512fffdcf48a2",1,1,2,2,6,,,,1
"H3700301","ea6d249015ea43fdbb8512fffdcf48a2",3,1,2,2,6,,,,1
"H3700301","ea6d249015ea43fdbb8512fffdcf48a2",4,2,1,2,1,3000,15,16,1
"H2651102","ea7e503b29d047e4a8c1bbeaacd0bf76",1,1,2,2,6,,,,1
"H2651102","ea7e503b29d047e4a8c1bbeaacd0bf76",4,2,1,2,1,3000,3,96,1
"H2390903","ea885a6671b04a6cbdb9f1be0f8f4206",9,,1,,2,2000,,,
"H1530201","ea9b82d9780e473c8604b8aec66ca080",1,1,2,2,5,,,,1
"H1530201","ea9b82d9780e473c8604b8aec66ca080",3,1,2,2,5,,,,1
"H1530201","ea9b82d9780e473c8604b8aec66ca080",4,2,1,1,1,1500,15,17,1
"H2380101","ead7dada714d4cb380fe5c6cd04bff9b",1,1,2,2,2,10000,10,18,1
"H2380101","ead7dada714d4cb380fe5c6cd04bff9b",4,2,1,2,2,4000,8,17,1
"H2380101","ead7dada714d4cb380fe5c6cd04bff9b",6,1,2,2,2,4000,8,12,1
"H2380101","ead7dada714d4cb380fe5c6cd04bff9b",9,,1,,1,1000,,,
"H1880604","eadb80f8aeba45d0866a12472624e2e0",1,1,2,1,5,,,,1
"H1880604","eadb80f8aeba45d0866a12472624e2e0",9,,1,,1,2000,,,
"H0230801","eade68c76ba047b5baf1a04f1b3e8641",6,1,2,2,3,60000,30,13,1
"H0230801","eade68c76ba047b5baf1a04f1b3e8641",8,2,1,2,,,,,1
"H0230801","eade68c76ba047b5baf1a04f1b3e8641",9,,1,,1,20000,,,
"H3810902","eae2e1b290974e1881c7a270047d21f2",6,1,2,2,6,,,,1
"H3810902","eae2e1b290974e1881c7a270047d21f2",7,2,1,2,,,,,1
"H3500401","eaffe221f7af498484ca1e7d39141c7e",1,1,2,2,6,,,,1
"H3500401","eaffe221f7af498484ca1e7d39141c7e",4,2,1,2,3,1500,0.5,2,1
"H3500401","eaffe221f7af498484ca1e7d39141c7e",9,,1,,1,20000,,,
"H0490802","eb00a49a396a4c12bdeb731b50e87576",1,1,2,2,6,,,,1
"H0490802","eb00a49a396a4c12bdeb731b50e87576",3,1,2,2,6,,,,1
"H0490802","eb00a49a396a4c12bdeb731b50e87576",7,2,1,2,,,,,1
"H2980301","eb09690a03c24c7598e5e9cf69bb7a02",1,1,2,2,5,,,,1
"H2980301","eb09690a03c24c7598e5e9cf69bb7a02",6,1,2,2,5,,,,1
"H2980301","eb09690a03c24c7598e5e9cf69bb7a02",8,2,1,2,,,,,1
"H0530201","eb158249d5254a339af1383b5c303c8f",1,1,2,2,5,,,,1
"H0530201","eb158249d5254a339af1383b5c303c8f",3,1,2,2,5,,,,1
"H0530201","eb158249d5254a339af1383b5c303c8f",4,2,1,2,1,4000,1,2,1
"H2050201","eb1dc329fdea4143b743522be5983a01",1,1,2,2,2,10000,2,9,1
"H2050201","eb1dc329fdea4143b743522be5983a01",6,1,2,2,2,15000,1,6,1
"H2050201","eb1dc329fdea4143b743522be5983a01",8,2,1,2,,,,,1
"H1740401","eb25796e1ad649679055593724664f79",1,1,2,2,5,,,,1
"H1740401","eb25796e1ad649679055593724664f79",3,1,2,2,5,,,,1
"H1740401","eb25796e1ad649679055593724664f79",4,2,1,2,2,2500,1,2,1
"H3550201","eb4fa21365234776a7a9c62f2f101135",1,1,2,2,5,,,,1
"H3550201","eb4fa21365234776a7a9c62f2f101135",6,1,2,2,5,,,,1
"H3550201","eb4fa21365234776a7a9c62f2f101135",7,2,1,2,,,,,1
"H1670501","eb59ef8281a54a08a7c111160e1eb446",1,1,2,2,6,,,,1
"H1670501","eb59ef8281a54a08a7c111160e1eb446",4,2,1,2,1,1500,1,96,1
"H0641002","eb5a280850794f38a207503b277f9852",5,1,2,2,3,10000,2,1,1
"H0641002","eb5a280850794f38a207503b277f9852",8,1,1,2,,,,,1
"H1480102","eb7073f385eb40a3ba28b2f1914d2a75",1,1,2,2,6,,,,1
"H1480102","eb7073f385eb40a3ba28b2f1914d2a75",3,1,2,2,5,,,,1
"H1480102","eb7073f385eb40a3ba28b2f1914d2a75",4,2,1,2,1,3000,1,2,1
"H4300301","eb86d0d90edf4c9aa257561e4cff3c37",1,1,2,2,5,,,,1
"H1680401","eb95f12c0b6b4cf5ac9bc363bd34d49a",1,1,2,2,6,,,,1
"H1680401","eb95f12c0b6b4cf5ac9bc363bd34d49a",8,2,1,2,,,,,1
"H2960201","eba2a5d18be44ae88aff02b66532afd8",1,1,2,2,6,,,,1
"H2960201","eba2a5d18be44ae88aff02b66532afd8",7,2,1,2,,,,,1
"H0680101","ebb91e212ced42d99594223f58716544",1,1,2,2,2,20000,4,10,1
"H0680101","ebb91e212ced42d99594223f58716544",4,2,1,2,3,6000,30,15,1
"H0680101","ebb91e212ced42d99594223f58716544",6,1,2,2,2,10000,10,8,1
"H3350501","ebcbdd6393f1445392d57880f2c6f016",1,1,2,2,6,,,,1
"H3350501","ebcbdd6393f1445392d57880f2c6f016",7,2,1,2,,,,,1
"H2370902","ec15a19931474a8586a988a15cf99163",1,1,2,2,6,,,,1
"H2370902","ec15a19931474a8586a988a15cf99163",4,2,1,2,2,2000,20,15,1
"H0540901","ec2fb6ed30434f11845e1a7e5f0431ee",1,1,2,2,6,,,,1
"H0540901","ec2fb6ed30434f11845e1a7e5f0431ee",7,2,1,2,,,,,1
"H1820901","ec3b89661f0d48c69cd2fffbd6a1256e",1,1,2,2,5,,,,1
"H1820901","ec3b89661f0d48c69cd2fffbd6a1256e",3,1,2,2,5,,,,1
"H1820901","ec3b89661f0d48c69cd2fffbd6a1256e",9,,1,,1,1000,,,
"H2060201","ec499129846d4a84882851dc9985ed04",1,1,2,2,5,,,,1
"H2060201","ec499129846d4a84882851dc9985ed04",6,1,2,2,2,10000,2,14,1
"H2060201","ec499129846d4a84882851dc9985ed04",7,2,1,2,,,,,1
"H1670301","ec88c7d3415f41528c5dbd44be7b97e6",1,1,2,2,6,,,,1
"H1670301","ec88c7d3415f41528c5dbd44be7b97e6",3,1,2,2,5,,,,1
"H1670301","ec88c7d3415f41528c5dbd44be7b97e6",4,2,1,2,1,2000,20,15,1
"H2090601","ecd05ff9fb14461f8e5343df92cbc128",1,1,2,2,5,,,,1
"H2090601","ecd05ff9fb14461f8e5343df92cbc128",6,1,2,2,2,0,0,96,1
"H2090601","ecd05ff9fb14461f8e5343df92cbc128",7,2,1,2,,,,,1
"H1630701","ecd6b193a6af4d089dff49b9e5009b1c",1,1,2,2,6,,,,1
"H1630701","ecd6b193a6af4d089dff49b9e5009b1c",7,2,1,2,,,,,1
"H2620107","ece67fd1863648ad9a8d5c540c7a4f0c",1,1,2,2,6,,,,1
"H2620107","ece67fd1863648ad9a8d5c540c7a4f0c",7,2,1,2,,,,,1
"H3560402","ecf6925ed46f4886aa27457d436a4e35",1,1,2,2,6,,,,1
"H3560402","ecf6925ed46f4886aa27457d436a4e35",3,1,2,2,6,,,,1
"H3560402","ecf6925ed46f4886aa27457d436a4e35",4,2,1,2,3,2000,1,96,1
"H1300606","ed08d8cb80514093b44610a517ac54ea",1,1,2,2,6,,,,1
"H1300606","ed08d8cb80514093b44610a517ac54ea",3,1,2,2,5,,,,1
"H2021002","ed3f21ec5b0a4bbea52ef10a981251f6",1,1,2,1,6,,,,1
"H2021002","ed3f21ec5b0a4bbea52ef10a981251f6",7,2,1,2,,,,,1
"H2021002","ed3f21ec5b0a4bbea52ef10a981251f6",9,,1,,2,3000,,,
"H3850101","ed43da95fe2f462faf7c1409597b17aa",1,1,2,2,6,,,,1
"H3850101","ed43da95fe2f462faf7c1409597b17aa",3,1,2,2,6,,,,1
"H3850101","ed43da95fe2f462faf7c1409597b17aa",4,2,1,2,2,1600,8,15,1
"H0450901","ed4cae40f9684396adcb4c544602fcd6",1,1,2,2,5,,,,1
"H0450901","ed4cae40f9684396adcb4c544602fcd6",7,2,1,2,,,,,1
"H1710501","ed4dbe1a8f264de7a60f1572a0203917",1,1,2,2,6,,,,1
"H1710501","ed4dbe1a8f264de7a60f1572a0203917",3,1,2,2,5,,,,1
"H1710501","ed4dbe1a8f264de7a60f1572a0203917",7,2,1,2,,,,,1
"H3390701","ed5332f749ec4618a26cfc5d1e22f4b3",1,1,2,2,6,,,,1
"H3390701","ed5332f749ec4618a26cfc5d1e22f4b3",4,2,1,2,1,3000,2,96,1
"H3590201","ed6016c75c434bfe8c7daf7f2da5eefb",1,1,2,2,5,,,,1
"H3590201","ed6016c75c434bfe8c7daf7f2da5eefb",7,2,1,2,,,,,1
"H0670702","ed72f3b819344913bbac5e8853eea3c0",1,1,2,2,5,,,,1
"H0670702","ed72f3b819344913bbac5e8853eea3c0",7,2,1,2,,,,,1
"H1630401","ed8d9888713d475d91804c19beb270e3",1,1,2,2,6,,,,1
"H1630401","ed8d9888713d475d91804c19beb270e3",7,2,1,2,,,,,1
"H1630401","ed8d9888713d475d91804c19beb270e3",9,,1,,1,1000,,,
"H3370301","ed96f1b062fe43f6b2e13c73f93fa716",1,1,2,2,2,30000,10,20,1
"H3370301","ed96f1b062fe43f6b2e13c73f93fa716",6,1,2,2,2,25000,1,6,1
"H3370301","ed96f1b062fe43f6b2e13c73f93fa716",8,2,1,2,,,,,1
"H2991005","eda2dc3651304456ab21b8e7e2f7f6cc",6,1,2,2,2,10000,2,14,1
"H2991005","eda2dc3651304456ab21b8e7e2f7f6cc",9,,1,,1,3000,,,
"H3040304","eda7a882787d497d9bc3c24e5f22d88c",6,1,2,2,2,20000,2,14,1
"H3040304","eda7a882787d497d9bc3c24e5f22d88c",8,2,1,2,,,,,1
"H1700201","edcff9bd95eb4216b2cea3204d85153f",1,1,2,2,6,,,,1
"H1700201","edcff9bd95eb4216b2cea3204d85153f",3,1,2,2,5,,,,1
"H1700201","edcff9bd95eb4216b2cea3204d85153f",4,2,1,2,1,3600,1,2,1
"H1190101","edd3aa336e384c68ba6498c9428215a9",1,1,2,2,6,,,,1
"H1190101","edd3aa336e384c68ba6498c9428215a9",4,2,1,2,3,3000,1,2,1
"H3990701","edfe36ca9a824841bf6884ec58bdc06e",1,1,2,2,6,,,,1
"H3990701","edfe36ca9a824841bf6884ec58bdc06e",9,,1,,2,4000,,,
"H1921101","ee1e4c79b11b40c782a947bf00ee173d",1,1,2,1,6,,,,1
"H1921101","ee1e4c79b11b40c782a947bf00ee173d",9,,1,,1,0,,,
"H1670201","ee4c6bb86b514020b0402b10043849c2",1,1,2,2,6,,,,1
"H1670201","ee4c6bb86b514020b0402b10043849c2",3,1,2,2,5,,,,1
"H1670201","ee4c6bb86b514020b0402b10043849c2",7,2,1,2,,,,,1
"H4250101","ee557c13cb0f4b2f845da51f7f8581ad",1,1,2,2,6,,,,1
"H4250101","ee557c13cb0f4b2f845da51f7f8581ad",4,2,1,2,1,3000,1,2,1
"H4270601","ee60c4b897ae447fbdb71c7a8e02e45f",1,1,2,2,6,,,,1
"H4270601","ee60c4b897ae447fbdb71c7a8e02e45f",4,2,1,2,2,1400,1,96,1
"H0161201","ee81489ba0d643ee951e8137beebc1a8",6,1,2,2,2,30000,30,13,1
"H0161201","ee81489ba0d643ee951e8137beebc1a8",8,2,1,2,,,,,1
"H1400801","ef0093cdbd6545cb9530aa3f46c495a1",1,1,2,2,6,,,,1
"H1400801","ef0093cdbd6545cb9530aa3f46c495a1",9,,1,,1,2000,,,
"H3720501","ef13a2b78b844b0da82e3e44ae288e87",1,1,2,2,6,,,,1
"H3720501","ef13a2b78b844b0da82e3e44ae288e87",3,1,2,2,5,,,,1
"H3720501","ef13a2b78b844b0da82e3e44ae288e87",4,2,1,2,1,2400,2,96,1
"H1870801","ef3fe4b139014e24aa116313cd1abe16",1,1,2,1,6,,,,1
"H1870801","ef3fe4b139014e24aa116313cd1abe16",9,,1,,1,2000,,,
"H2780602","efb06a4a6eec42b79f28f2fe32f48817",1,1,2,2,2,20000,4,20,1
"H2780602","efb06a4a6eec42b79f28f2fe32f48817",7,2,1,2,,,,,1
"H3630801","effe7e5783644395831c6d758a97cc6f",6,1,2,2,2,80000,1,6,1
"H3630801","effe7e5783644395831c6d758a97cc6f",8,2,1,2,,,,,1
"H3870401","efff16c49e1b4398ae56fd35b174eea1",7,1,1,2,,,,,1
"H3870401","efff16c49e1b4398ae56fd35b174eea1",9,,1,,1,1500,,,
"H0361001","f016c9fe5f6a4b5bab3cb0acf3b9b029",1,1,2,2,6,,,,1
"H0361001","f016c9fe5f6a4b5bab3cb0acf3b9b029",7,2,1,2,,,,,1
"H0880401","f0353287f6fc44e8a3faf63cec17e7de",1,1,2,2,6,,,,1
"H0880401","f0353287f6fc44e8a3faf63cec17e7de",7,2,1,2,,,,,1
"H3410101","f0399a2bc9634e269be93e056b2fd8ab",1,1,2,2,5,,,,1
"H3410101","f0399a2bc9634e269be93e056b2fd8ab",7,2,1,2,,,,,1
"H3430101","f039e6ecc301466ba007e6b22477de34",1,1,2,2,5,,,,1
"H3430101","f039e6ecc301466ba007e6b22477de34",6,1,2,2,2,30000,1,6,1
"H3430101","f039e6ecc301466ba007e6b22477de34",7,2,1,2,,,,,1
"H3700501","f04465e741f1442db4d656bf57233227",4,2,1,2,1,0,0,2,1
"H3700501","f04465e741f1442db4d656bf57233227",6,1,2,2,3,30000,1,6,1
"H3700501","f04465e741f1442db4d656bf57233227",8,2,1,2,,,,,1
"H2310101","f0573c6124e34f7a84724e68c905781b",1,1,2,2,5,,,,1
"H3770701","f07fa1d1722843fe9212c50ee1e4a324",1,1,2,2,6,,,,1
"H3770701","f07fa1d1722843fe9212c50ee1e4a324",7,2,1,2,,,,,1
"H3770701","f07fa1d1722843fe9212c50ee1e4a324",9,,1,,1,1500,,,
"H0910801","f09bd00bdbdb408684721cce78f723fa",1,1,2,2,5,,,,1
"H0910801","f09bd00bdbdb408684721cce78f723fa",6,1,2,2,5,,,,1
"H0910801","f09bd00bdbdb408684721cce78f723fa",7,2,1,2,,,,,1
"H4290801","f0a20f6e068c47669376cbe351f2a258",1,1,2,2,6,,,,1
"H4290801","f0a20f6e068c47669376cbe351f2a258",7,2,1,2,,,,,1
"H3560801","f0c861d6258640878bb657d8bece1faa",1,1,2,2,6,,,,1
"H3560801","f0c861d6258640878bb657d8bece1faa",3,1,2,2,6,,,,1
"H3560801","f0c861d6258640878bb657d8bece1faa",4,2,1,2,3,1200,1,96,1
"H0491305","f0cd8fb451eb454b892ffb194338952c",1,1,2,2,6,,,,1
"H0491305","f0cd8fb451eb454b892ffb194338952c",7,2,1,2,,,,,1
"H3460201","f0dd817a25344500aa21c1fb0cebb96a",6,1,2,2,2,20000,2,14,1
"H3460201","f0dd817a25344500aa21c1fb0cebb96a",8,1,2,2,,,,,1
"H0910701","f103d1183cce4a8e8707432c95281b28",1,1,2,2,5,,,,1
"H0910701","f103d1183cce4a8e8707432c95281b28",3,1,2,2,5,,,,1
"H0910701","f103d1183cce4a8e8707432c95281b28",4,2,1,2,1,2000,20,15,1
"H1480801","f14f7b04d23c4b2b90c46d342fc15db3",1,1,2,2,6,,,,1
"H1480801","f14f7b04d23c4b2b90c46d342fc15db3",3,1,2,2,5,,,,1
"H1480801","f14f7b04d23c4b2b90c46d342fc15db3",4,2,1,2,1,2800,0.5,2,1
"H3830501","f15fb58700b94caaa06d491e10e7919f",1,1,2,2,6,,,,1
"H3830501","f15fb58700b94caaa06d491e10e7919f",9,,1,,1,1000,,,
"H2461001","f168c110db7740aaadc8825d6c6d41b1",1,1,2,2,6,,,,1
"H2461001","f168c110db7740aaadc8825d6c6d41b1",9,,1,,1,1000,,,
"H1660401","f176ef3a410b476f803fb2f6712be039",6,1,2,2,2,14000,2,14,1
"H1660401","f176ef3a410b476f803fb2f6712be039",9,,1,,1,20000,,,
"H3250901","f178ea41c1bb4b9f96ee39e9da3d715d",1,1,2,2,2,6000,6,18,1
"H3250901","f178ea41c1bb4b9f96ee39e9da3d715d",6,1,2,2,2,4000,4,8,1
"H3250901","f178ea41c1bb4b9f96ee39e9da3d715d",7,2,1,2,,,,,1
"H2920301","f191756a80324e25b01790c978b1d379",6,1,2,1,2,60000,1,5,1
"H2920301","f191756a80324e25b01790c978b1d379",8,2,1,2,,,,,1
"H2920301","f191756a80324e25b01790c978b1d379",9,,1,,1,2000,,,
"H2310902","f19ce505a0cc4c2eac666384f3a1e63f",1,1,2,2,6,,,,1
"H2310902","f19ce505a0cc4c2eac666384f3a1e63f",7,1,1,2,,,,,1
"H2660301","f1bc09d2cd8248a4b51acf32675c8fd8",1,1,2,1,5,,,,1
"H2660301","f1bc09d2cd8248a4b51acf32675c8fd8",8,2,1,2,,,,,1
"H3701001","f1ca5df50c404322be72366e98f58e57",1,1,2,2,6,,,,1
"H3701001","f1ca5df50c404322be72366e98f58e57",6,1,2,2,2,12000,2,14,1
"H3740101","f1ea598fc295450ea589e51c5c8872d6",1,1,2,2,6,,,,1
"H3740101","f1ea598fc295450ea589e51c5c8872d6",3,1,2,2,5,,,,1
"H3740101","f1ea598fc295450ea589e51c5c8872d6",4,2,1,2,1,3000,30,2,1
"H2611001","f2202a9e0ea849329605f081e564d9cd",1,1,2,2,6,,,,1
"H2611001","f2202a9e0ea849329605f081e564d9cd",7,2,1,2,,,,,1
"H4010501","f251776e3c7940e4ab08d6ab7f751546",1,1,2,2,6,,,,1
"H4010501","f251776e3c7940e4ab08d6ab7f751546",7,2,1,2,,,,,1
"H4010501","f251776e3c7940e4ab08d6ab7f751546",9,,1,,1,1000,,,
"H1410902","f25649384d6c458cb6c902738fb26614",6,1,2,2,1,20000,4,14,1
"H1410902","f25649384d6c458cb6c902738fb26614",9,,1,,1,3000,,,
"H3070901","f257cf78def94248abd804f57f8fb3c7",1,1,2,2,5,,,,1
"H3070901","f257cf78def94248abd804f57f8fb3c7",7,2,1,2,,,,,1
"H3280601","f2614da468324521954a1f3a9376b740",6,1,2,2,2,40000,4,14,1
"H3280601","f2614da468324521954a1f3a9376b740",8,2,1,2,,,,,1
"H3560501","f268b0e8ca52483e9ece7af84125ce53",1,1,2,2,5,,,,1
"H3560501","f268b0e8ca52483e9ece7af84125ce53",7,2,1,2,,,,,1
"H2440701","f2834dc328c14619b1bdbe913d33397f",1,1,2,2,6,,,,1
"H2440701","f2834dc328c14619b1bdbe913d33397f",4,2,1,2,1,2000,2,17,1
"H1200806","f2880eff0ac94a07985b2bfa257e743d",6,1,2,2,1,40000,20,9,1
"H1200806","f2880eff0ac94a07985b2bfa257e743d",7,2,1,2,,,,,1
"H1720702","f29a37bd413c46228e1b55e6b3aa6a9c",6,1,2,2,2,40000,20,9,1
"H1720702","f29a37bd413c46228e1b55e6b3aa6a9c",7,2,1,2,,,,,1
"H0970601","f2a9073b7fe549ce974b1adcd7c583a9",6,1,2,2,1,30000,30,8,1
"H0970601","f2a9073b7fe549ce974b1adcd7c583a9",8,2,1,2,,,,,1
"H3780501","f2af3f1c4c0f4042a87e634157c1e592",1,1,2,2,5,,,,1
"H3810601","f2c9b1b56ef640b8a10a3eb0df86ba35",1,1,2,2,6,,,,1
"H3810601","f2c9b1b56ef640b8a10a3eb0df86ba35",3,1,2,2,5,,,,1
"H3951001","f2cf51cb757d40afb958bd42512e803f",1,1,2,2,6,,,,1
"H3951001","f2cf51cb757d40afb958bd42512e803f",9,,1,,1,0,,,
"H0420701","f2de0736788e4102ab36077964a13dcf",1,1,2,2,6,,,,1
"H0420701","f2de0736788e4102ab36077964a13dcf",7,2,1,2,,,,,1
"H2971002","f2e9659ec08048158911c46971d1ef7b",6,1,2,2,2,30000,1,5,1
"H1890901","f2eaa357d2ad40c98407c945bcc22458",1,1,2,2,6,,,,1
"H1890901","f2eaa357d2ad40c98407c945bcc22458",7,2,1,2,,,,,1
"H1880605","f30df406f2024ad3ae5bda4c9421abf3",1,1,2,2,2,24000,8,9,1
"H0600601","f31a267281e64bebb754839cd685e60a",1,1,2,2,5,,,,1
"H0600601","f31a267281e64bebb754839cd685e60a",7,2,1,2,,,,,1
"H0610901","f3362362a2064855bacc5d9b8c591700",1,1,2,2,5,,,,1
"H0610901","f3362362a2064855bacc5d9b8c591700",9,,1,,1,800,,,
"H1400601","f33654198a06474b8fe4c57cb565c649",1,1,2,2,6,,,,1
"H1400601","f33654198a06474b8fe4c57cb565c649",9,,1,,1,2000,,,
"31","f34754a2910b4c87af9125048fa70ba2",1,1,2,2,6,,,,1
"31","f34754a2910b4c87af9125048fa70ba2",9,,1,,1,1000,,,
"H1410601","f3483d62aaf14708aec1143d79fee326",6,1,2,2,2,40000,1,5,1
"H1410601","f3483d62aaf14708aec1143d79fee326",8,2,1,2,,,,,1
"H1410601","f3483d62aaf14708aec1143d79fee326",9,,1,,1,2000,,,
"H1280503","f360550117324610a3a787d67af7042d",5,1,2,2,3,0,0,1,1
"H1280503","f360550117324610a3a787d67af7042d",6,1,2,2,2,1000,1,9,1
"H1280503","f360550117324610a3a787d67af7042d",8,2,1,2,,,,,1
"H1280503","f360550117324610a3a787d67af7042d",9,,1,,1,1000,,,
"H1430901","f36e139647a04d3c92833aeb5581a04d",1,1,2,2,6,,,,1
"H1430901","f36e139647a04d3c92833aeb5581a04d",9,,1,,1,4500,,,
"H1880101","f36eded836974394830ff5347fd22acb",1,1,2,2,5,,,,1
"H1880101","f36eded836974394830ff5347fd22acb",7,2,1,2,,,,,1
"H0080901","f37f3f7707594c7595bc771f57b2c137",4,1,2,2,1,10000,4,2,1
"H0080901","f37f3f7707594c7595bc771f57b2c137",6,1,2,2,2,25000,1,7,1
"H2160201","f38c8379e21541a7b708831e15af7b45",1,1,2,2,6,,,,1
"H2160201","f38c8379e21541a7b708831e15af7b45",9,,1,,1,1000,,,
"H1750801","f394c52ef5324bd596eaf163acb2d12c",1,1,2,2,6,,,,1
"H1750801","f394c52ef5324bd596eaf163acb2d12c",4,2,1,2,1,400,2,15,1
"H2310403","f3b1f16c05bb4869a9905606043be3aa",1,1,2,2,6,,,,1
"H2310403","f3b1f16c05bb4869a9905606043be3aa",7,2,1,2,,,,,1
"H2170801","f3b90ff531cf4395be1ee1591dde88fa",1,1,2,2,6,,,,1
"H0360101","f3bfd5fcecc84d69b4b9fff5344bb25c",1,1,2,2,5,,,,1
"H0360101","f3bfd5fcecc84d69b4b9fff5344bb25c",9,,1,,1,1800,,,
"H4240102","f3c2473fa6974f70962d3fa68c69b8e2",6,1,2,1,2,20000,2,14,1
"H2570202","f3c2947ecf934078b9c2cabd762c01d6",1,1,2,1,5,,,,1
"H2570202","f3c2947ecf934078b9c2cabd762c01d6",7,2,1,2,,,,,1
"H0400201","f3e66dbb1c014cbbacd81e6ac1d13a82",1,1,2,2,6,,,,1
"H0400201","f3e66dbb1c014cbbacd81e6ac1d13a82",6,1,2,2,5,,,,1
"H0400201","f3e66dbb1c014cbbacd81e6ac1d13a82",9,,1,,1,7200,,,
"H0031301","f3ef05c412244ce59d7856da0cf53568",1,1,2,2,2,50000,25,10,1
"H0031301","f3ef05c412244ce59d7856da0cf53568",6,1,2,2,2,100000,1,96,1
"H0031301","f3ef05c412244ce59d7856da0cf53568",8,2,1,2,,,,,1
"H2660401","f40be057a0014a09960af217a31cc591",6,1,2,2,2,8000,4,12,1
"H2660401","f40be057a0014a09960af217a31cc591",7,2,1,2,,,,,1
"H3311001","f4149f57ce274bccb0739ff62f78e487",6,1,2,2,1,30000,30,13,1
"H3311001","f4149f57ce274bccb0739ff62f78e487",8,2,1,2,,,,,1
"H3440901","f42ee90890564405a8c1f7c776c3a125",1,1,2,2,5,,,,1
"H3440901","f42ee90890564405a8c1f7c776c3a125",9,,1,,1,1000,,,
"H2331001","f44d99ead945471a883d58c7a381897c",1,1,2,1,6,,,,1
"H2331001","f44d99ead945471a883d58c7a381897c",9,,1,,1,1000,,,
"H3810501","f459d97cb9984f9986be95933cc389c2",1,1,2,2,5,,,,1
"H3810501","f459d97cb9984f9986be95933cc389c2",3,1,2,2,5,,,,1
"H3810501","f459d97cb9984f9986be95933cc389c2",4,2,1,2,1,3400,1,2,1
"H2160901","f4686034113047ff95f75612e8dcb6ed",1,1,2,2,6,,,,1
"H2160901","f4686034113047ff95f75612e8dcb6ed",9,,1,,1,1000,,,
"H1760102","f488539b4ee34dde9bd7f04d436cd196",1,1,2,2,6,,,,1
"H1760102","f488539b4ee34dde9bd7f04d436cd196",6,1,2,2,2,5000,1,14,1
"H2590901","f48de9a6d7984b04bf160950582619ad",1,1,2,2,2,30000,5,20,1
"H2590901","f48de9a6d7984b04bf160950582619ad",7,2,1,2,,,,,1
"H0180901","f4a7510c51364ed5ac27310851083b78",6,1,2,2,2,40000,20,9,1
"H0180901","f4a7510c51364ed5ac27310851083b78",7,2,1,2,,,,,1
"H1860102","f4b96129ca39417db535ade40e94bc7a",1,1,2,2,6,,,,1
"H1860102","f4b96129ca39417db535ade40e94bc7a",9,,1,,1,0,,,
"H3680901","f4c23a0241fe4434b9c076b58415c174",1,1,2,1,6,,,,1
