"hhid","CEE01","CEE02","CEE02_1","CEE03"
"53a0bbca47fb4e3686bcb4d9354da3c5","Pension and social security payments",805,2,
"53b4643ffde546d09666b0bd168c8223","Remittances, gifts, and other transfers",806,2,
"53b4643ffde546d09666b0bd168c8223","Local Service tax",804,2,
"53b4643ffde546d09666b0bd168c8223","Interest on loans",808,2,
"53b4643ffde546d09666b0bd168c8223","Pension and social security payments",805,2,
"53b4643ffde546d09666b0bd168c8223","Funerals and other social functions",807,1,150000
"53b4643ffde546d09666b0bd168c8223","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"53b4643ffde546d09666b0bd168c8223","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"53b4643ffde546d09666b0bd168c8223","Property rates (taxes)",802,2,
"53b4643ffde546d09666b0bd168c8223","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"53b4643ffde546d09666b0bd168c8223","Income tax",801,2,
"53c64592eba340e6992585c5f6aee0d7","Interest on loans",808,2,
"53c64592eba340e6992585c5f6aee0d7","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"53c64592eba340e6992585c5f6aee0d7","Funerals and other social functions",807,1,150000
"53c64592eba340e6992585c5f6aee0d7","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"53c64592eba340e6992585c5f6aee0d7","Pension and social security payments",805,2,
"53c64592eba340e6992585c5f6aee0d7","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"53c64592eba340e6992585c5f6aee0d7","Remittances, gifts, and other transfers",806,2,
"53c64592eba340e6992585c5f6aee0d7","Property rates (taxes)",802,2,
"53c64592eba340e6992585c5f6aee0d7","Income tax",801,2,
"53c64592eba340e6992585c5f6aee0d7","Local Service tax",804,2,
"53f34901daf0423aacc3dfa377981d2c","Income tax",801,2,
"53f34901daf0423aacc3dfa377981d2c","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"53f34901daf0423aacc3dfa377981d2c","Remittances, gifts, and other transfers",806,2,
"53f34901daf0423aacc3dfa377981d2c","Property rates (taxes)",802,2,
"53f34901daf0423aacc3dfa377981d2c","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"53f34901daf0423aacc3dfa377981d2c","Pension and social security payments",805,2,
"53f34901daf0423aacc3dfa377981d2c","Local Service tax",804,2,
"53f34901daf0423aacc3dfa377981d2c","Interest on loans",808,1,15000
"53f34901daf0423aacc3dfa377981d2c","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"53f34901daf0423aacc3dfa377981d2c","Funerals and other social functions",807,2,
"545e128f868a48fb90e83536e307e822","Funerals and other social functions",807,1,50000
"545e128f868a48fb90e83536e307e822","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"545e128f868a48fb90e83536e307e822","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"545e128f868a48fb90e83536e307e822","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"545e128f868a48fb90e83536e307e822","Property rates (taxes)",802,2,
"545e128f868a48fb90e83536e307e822","Local Service tax",804,2,
"545e128f868a48fb90e83536e307e822","Pension and social security payments",805,1,6000000
"545e128f868a48fb90e83536e307e822","Remittances, gifts, and other transfers",806,1,300000
"545e128f868a48fb90e83536e307e822","Interest on loans",808,2,
"545e128f868a48fb90e83536e307e822","Income tax",801,2,
"549db14fab984d75bb4096ff0d918c37","Income tax",801,2,
"549db14fab984d75bb4096ff0d918c37","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"549db14fab984d75bb4096ff0d918c37","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"549db14fab984d75bb4096ff0d918c37","Interest on loans",808,1,100000
"549db14fab984d75bb4096ff0d918c37","Funerals and other social functions",807,2,
"549db14fab984d75bb4096ff0d918c37","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"549db14fab984d75bb4096ff0d918c37","Pension and social security payments",805,2,
"549db14fab984d75bb4096ff0d918c37","Local Service tax",804,2,
"549db14fab984d75bb4096ff0d918c37","Remittances, gifts, and other transfers",806,2,
"549db14fab984d75bb4096ff0d918c37","Property rates (taxes)",802,2,
"54fa884df874445480fd43eac8e8c9b2","Pension and social security payments",805,2,
"54fa884df874445480fd43eac8e8c9b2","Local Service tax",804,2,
"54fa884df874445480fd43eac8e8c9b2","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"54fa884df874445480fd43eac8e8c9b2","Funerals and other social functions",807,1,60000
"54fa884df874445480fd43eac8e8c9b2","Property rates (taxes)",802,2,
"54fa884df874445480fd43eac8e8c9b2","Income tax",801,2,
"54fa884df874445480fd43eac8e8c9b2","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"54fa884df874445480fd43eac8e8c9b2","Remittances, gifts, and other transfers",806,1,150000
"54fa884df874445480fd43eac8e8c9b2","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"54fa884df874445480fd43eac8e8c9b2","Interest on loans",808,1,390000
"550878e14ace4f93a3e4b486d070efa8","Pension and social security payments",805,2,
"550878e14ace4f93a3e4b486d070efa8","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"550878e14ace4f93a3e4b486d070efa8","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"550878e14ace4f93a3e4b486d070efa8","Local Service tax",804,2,
"550878e14ace4f93a3e4b486d070efa8","Income tax",801,2,
"550878e14ace4f93a3e4b486d070efa8","Property rates (taxes)",802,2,
"550878e14ace4f93a3e4b486d070efa8","Remittances, gifts, and other transfers",806,2,
"550878e14ace4f93a3e4b486d070efa8","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"550878e14ace4f93a3e4b486d070efa8","Interest on loans",808,2,
"550878e14ace4f93a3e4b486d070efa8","Funerals and other social functions",807,1,10000
"55184d4e2cef4b68b0814974b9b43785","Income tax",801,2,
"55184d4e2cef4b68b0814974b9b43785","Local Service tax",804,2,
"55184d4e2cef4b68b0814974b9b43785","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"55184d4e2cef4b68b0814974b9b43785","Property rates (taxes)",802,2,
"55184d4e2cef4b68b0814974b9b43785","Funerals and other social functions",807,1,15000
"55184d4e2cef4b68b0814974b9b43785","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"55184d4e2cef4b68b0814974b9b43785","Pension and social security payments",805,2,
"55184d4e2cef4b68b0814974b9b43785","Interest on loans",808,2,
"55184d4e2cef4b68b0814974b9b43785","Remittances, gifts, and other transfers",806,2,
"55184d4e2cef4b68b0814974b9b43785","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"55cb0ac9e985428394d3f0085cd05ffe","Income tax",801,2,
"55cb0ac9e985428394d3f0085cd05ffe","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"55cb0ac9e985428394d3f0085cd05ffe","Pension and social security payments",805,2,
"55cb0ac9e985428394d3f0085cd05ffe","Funerals and other social functions",807,2,
"55cb0ac9e985428394d3f0085cd05ffe","Interest on loans",808,2,
"55cb0ac9e985428394d3f0085cd05ffe","Others (like subscriptions, interest to consumer debts, etc.)",809,1,13500
"55cb0ac9e985428394d3f0085cd05ffe","Property rates (taxes)",802,2,
"55cb0ac9e985428394d3f0085cd05ffe","Remittances, gifts, and other transfers",806,1,50000
"55cb0ac9e985428394d3f0085cd05ffe","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"55cb0ac9e985428394d3f0085cd05ffe","Local Service tax",804,2,
"55e256a234e141cea64051f860072767","Property rates (taxes)",802,2,
"55e256a234e141cea64051f860072767","Local Service tax",804,2,
"55e256a234e141cea64051f860072767","Income tax",801,2,
"55e256a234e141cea64051f860072767","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"55e256a234e141cea64051f860072767","Pension and social security payments",805,2,
"55e256a234e141cea64051f860072767","Remittances, gifts, and other transfers",806,1,200000
"55e256a234e141cea64051f860072767","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"55e256a234e141cea64051f860072767","Funerals and other social functions",807,1,100000
"55e256a234e141cea64051f860072767","Interest on loans",808,2,
"55e256a234e141cea64051f860072767","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"561116298ecf4cdcb622a9c49b49ab6e","Income tax",801,2,
"561116298ecf4cdcb622a9c49b49ab6e","Funerals and other social functions",807,1,60000
"561116298ecf4cdcb622a9c49b49ab6e","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"561116298ecf4cdcb622a9c49b49ab6e","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"561116298ecf4cdcb622a9c49b49ab6e","Remittances, gifts, and other transfers",806,2,
"561116298ecf4cdcb622a9c49b49ab6e","Local Service tax",804,2,
"561116298ecf4cdcb622a9c49b49ab6e","Property rates (taxes)",802,2,
"561116298ecf4cdcb622a9c49b49ab6e","Pension and social security payments",805,2,
"561116298ecf4cdcb622a9c49b49ab6e","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"561116298ecf4cdcb622a9c49b49ab6e","Interest on loans",808,1,230000
"5617b8c8b9b64ab98375b724978b8ff9","Income tax",801,2,
"5617b8c8b9b64ab98375b724978b8ff9","Funerals and other social functions",807,2,
"5617b8c8b9b64ab98375b724978b8ff9","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"5617b8c8b9b64ab98375b724978b8ff9","Local Service tax",804,2,
"5617b8c8b9b64ab98375b724978b8ff9","Property rates (taxes)",802,2,
"5617b8c8b9b64ab98375b724978b8ff9","Interest on loans",808,1,15000
"5617b8c8b9b64ab98375b724978b8ff9","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5617b8c8b9b64ab98375b724978b8ff9","Remittances, gifts, and other transfers",806,2,
"5617b8c8b9b64ab98375b724978b8ff9","Pension and social security payments",805,2,
"5617b8c8b9b64ab98375b724978b8ff9","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"561b22f3db874c2d9200f5fc5fcd8815","Funerals and other social functions",807,1,20000
"561b22f3db874c2d9200f5fc5fcd8815","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"561b22f3db874c2d9200f5fc5fcd8815","Income tax",801,2,
"561b22f3db874c2d9200f5fc5fcd8815","Remittances, gifts, and other transfers",806,2,
"561b22f3db874c2d9200f5fc5fcd8815","Local Service tax",804,2,
"561b22f3db874c2d9200f5fc5fcd8815","Interest on loans",808,2,
"561b22f3db874c2d9200f5fc5fcd8815","Pension and social security payments",805,2,
"561b22f3db874c2d9200f5fc5fcd8815","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"561b22f3db874c2d9200f5fc5fcd8815","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"561b22f3db874c2d9200f5fc5fcd8815","Property rates (taxes)",802,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Income tax",801,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Remittances, gifts, and other transfers",806,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Interest on loans",808,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Pension and social security payments",805,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Funerals and other social functions",807,1,15000
"561b9da0e83b491fbe93b0b5dc93dbff","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Local Service tax",804,2,
"561b9da0e83b491fbe93b0b5dc93dbff","Property rates (taxes)",802,2,
"5650605514ae405cad87c8e185fc51cd","Interest on loans",808,1,50000
"5650605514ae405cad87c8e185fc51cd","Property rates (taxes)",802,2,
"5650605514ae405cad87c8e185fc51cd","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5650605514ae405cad87c8e185fc51cd","Pension and social security payments",805,2,
"5650605514ae405cad87c8e185fc51cd","Income tax",801,2,
"5650605514ae405cad87c8e185fc51cd","Local Service tax",804,2,
"5650605514ae405cad87c8e185fc51cd","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"5650605514ae405cad87c8e185fc51cd","Remittances, gifts, and other transfers",806,2,
"5650605514ae405cad87c8e185fc51cd","Funerals and other social functions",807,2,
"5650605514ae405cad87c8e185fc51cd","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56746c03ed274ca097e558508cdd7803","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56746c03ed274ca097e558508cdd7803","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"56746c03ed274ca097e558508cdd7803","Remittances, gifts, and other transfers",806,1,120000
"56746c03ed274ca097e558508cdd7803","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"56746c03ed274ca097e558508cdd7803","Interest on loans",808,2,
"56746c03ed274ca097e558508cdd7803","Funerals and other social functions",807,2,
"56746c03ed274ca097e558508cdd7803","Local Service tax",804,2,
"56746c03ed274ca097e558508cdd7803","Property rates (taxes)",802,2,
"56746c03ed274ca097e558508cdd7803","Pension and social security payments",805,2,
"56746c03ed274ca097e558508cdd7803","Income tax",801,2,
"56791b0c00ac4630824393ed6ddea3d9","Local Service tax",804,2,
"56791b0c00ac4630824393ed6ddea3d9","Interest on loans",808,2,
"56791b0c00ac4630824393ed6ddea3d9","Income tax",801,2,
"56791b0c00ac4630824393ed6ddea3d9","Remittances, gifts, and other transfers",806,2,
"56791b0c00ac4630824393ed6ddea3d9","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"56791b0c00ac4630824393ed6ddea3d9","Funerals and other social functions",807,1,66000
"56791b0c00ac4630824393ed6ddea3d9","Pension and social security payments",805,2,
"56791b0c00ac4630824393ed6ddea3d9","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56791b0c00ac4630824393ed6ddea3d9","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"56791b0c00ac4630824393ed6ddea3d9","Property rates (taxes)",802,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Funerals and other social functions",807,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Remittances, gifts, and other transfers",806,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Interest on loans",808,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Income tax",801,2,
"5694adb9ef8f4479a85d95a4dee40cf4","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Pension and social security payments",805,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Property rates (taxes)",802,2,
"5694adb9ef8f4479a85d95a4dee40cf4","Local Service tax",804,1,110000
"56bb6433aa6f4ca9af100b667c2f137e","Funerals and other social functions",807,1,50000
"56bb6433aa6f4ca9af100b667c2f137e","Local Service tax",804,2,
"56bb6433aa6f4ca9af100b667c2f137e","Pension and social security payments",805,2,
"56bb6433aa6f4ca9af100b667c2f137e","Remittances, gifts, and other transfers",806,2,
"56bb6433aa6f4ca9af100b667c2f137e","Income tax",801,2,
"56bb6433aa6f4ca9af100b667c2f137e","Property rates (taxes)",802,2,
"56bb6433aa6f4ca9af100b667c2f137e","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"56bb6433aa6f4ca9af100b667c2f137e","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56bb6433aa6f4ca9af100b667c2f137e","Interest on loans",808,2,
"56bb6433aa6f4ca9af100b667c2f137e","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Interest on loans",808,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Remittances, gifts, and other transfers",806,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Funerals and other social functions",807,1,25000
"56ce385d39df4a0590ca4243ad2fcc2b","Income tax",801,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56ce385d39df4a0590ca4243ad2fcc2b","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Local Service tax",804,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Pension and social security payments",805,2,
"56ce385d39df4a0590ca4243ad2fcc2b","Property rates (taxes)",802,2,
"56d914750684421abacfdfbf45e54ab9","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56d914750684421abacfdfbf45e54ab9","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"56d914750684421abacfdfbf45e54ab9","Property rates (taxes)",802,2,
"56d914750684421abacfdfbf45e54ab9","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"56d914750684421abacfdfbf45e54ab9","Income tax",801,2,
"56d914750684421abacfdfbf45e54ab9","Remittances, gifts, and other transfers",806,1,40000
"56d914750684421abacfdfbf45e54ab9","Interest on loans",808,2,
"56d914750684421abacfdfbf45e54ab9","Pension and social security payments",805,2,
"56d914750684421abacfdfbf45e54ab9","Local Service tax",804,2,
"56d914750684421abacfdfbf45e54ab9","Funerals and other social functions",807,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Income tax",801,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Remittances, gifts, and other transfers",806,1,100000
"56e2f95e0a8f49ee994aaf22ce16ef5e","Local Service tax",804,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Interest on loans",808,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Pension and social security payments",805,2,
"56e2f95e0a8f49ee994aaf22ce16ef5e","Funerals and other social functions",807,1,5000
"56e2f95e0a8f49ee994aaf22ce16ef5e","Property rates (taxes)",802,2,
"5721ad458afe436a97e71438fe24fe1c","Funerals and other social functions",807,1,80000
"5721ad458afe436a97e71438fe24fe1c","Local Service tax",804,2,
"5721ad458afe436a97e71438fe24fe1c","Pension and social security payments",805,2,
"5721ad458afe436a97e71438fe24fe1c","Interest on loans",808,2,
"5721ad458afe436a97e71438fe24fe1c","Income tax",801,2,
"5721ad458afe436a97e71438fe24fe1c","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"5721ad458afe436a97e71438fe24fe1c","Property rates (taxes)",802,2,
"5721ad458afe436a97e71438fe24fe1c","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"5721ad458afe436a97e71438fe24fe1c","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5721ad458afe436a97e71438fe24fe1c","Remittances, gifts, and other transfers",806,1,800000
"5762fab09a1d43b2a711579301acc88c","Pension and social security payments",805,2,
"5762fab09a1d43b2a711579301acc88c","Interest on loans",808,1,25000
"5762fab09a1d43b2a711579301acc88c","Property rates (taxes)",802,2,
"5762fab09a1d43b2a711579301acc88c","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"5762fab09a1d43b2a711579301acc88c","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5762fab09a1d43b2a711579301acc88c","Local Service tax",804,2,
"5762fab09a1d43b2a711579301acc88c","Remittances, gifts, and other transfers",806,2,
"5762fab09a1d43b2a711579301acc88c","Income tax",801,2,
"5762fab09a1d43b2a711579301acc88c","Funerals and other social functions",807,2,
"5762fab09a1d43b2a711579301acc88c","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"577c942c1d9846dba27cb3c2e26950f4","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"577c942c1d9846dba27cb3c2e26950f4","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"577c942c1d9846dba27cb3c2e26950f4","Property rates (taxes)",802,2,
"577c942c1d9846dba27cb3c2e26950f4","Income tax",801,2,
"577c942c1d9846dba27cb3c2e26950f4","Funerals and other social functions",807,1,36000
"577c942c1d9846dba27cb3c2e26950f4","Local Service tax",804,2,
"577c942c1d9846dba27cb3c2e26950f4","Pension and social security payments",805,2,
"577c942c1d9846dba27cb3c2e26950f4","Interest on loans",808,2,
"577c942c1d9846dba27cb3c2e26950f4","Remittances, gifts, and other transfers",806,2,
"577c942c1d9846dba27cb3c2e26950f4","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5787bf9167b9429081326efeefd2634e","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5787bf9167b9429081326efeefd2634e","Remittances, gifts, and other transfers",806,2,
"5787bf9167b9429081326efeefd2634e","Property rates (taxes)",802,2,
"5787bf9167b9429081326efeefd2634e","Interest on loans",808,1,50000
"5787bf9167b9429081326efeefd2634e","Pension and social security payments",805,2,
"5787bf9167b9429081326efeefd2634e","Funerals and other social functions",807,2,
"5787bf9167b9429081326efeefd2634e","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"5787bf9167b9429081326efeefd2634e","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"5787bf9167b9429081326efeefd2634e","Local Service tax",804,2,
"5787bf9167b9429081326efeefd2634e","Income tax",801,2,
"57ad19c7b77b4c01816ae792f50a11b1","Pension and social security payments",805,2,
"57ad19c7b77b4c01816ae792f50a11b1","Income tax",801,2,
"57ad19c7b77b4c01816ae792f50a11b1","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"57ad19c7b77b4c01816ae792f50a11b1","Remittances, gifts, and other transfers",806,2,
"57ad19c7b77b4c01816ae792f50a11b1","Funerals and other social functions",807,1,100000
"57ad19c7b77b4c01816ae792f50a11b1","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"57ad19c7b77b4c01816ae792f50a11b1","Property rates (taxes)",802,2,
"57ad19c7b77b4c01816ae792f50a11b1","Interest on loans",808,2,
"57ad19c7b77b4c01816ae792f50a11b1","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"57ad19c7b77b4c01816ae792f50a11b1","Local Service tax",804,2,
"57ba8e9457024ed4bbf5d910d1b98591","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"57ba8e9457024ed4bbf5d910d1b98591","Income tax",801,2,
"57ba8e9457024ed4bbf5d910d1b98591","Remittances, gifts, and other transfers",806,2,
"57ba8e9457024ed4bbf5d910d1b98591","Local Service tax",804,2,
"57ba8e9457024ed4bbf5d910d1b98591","Funerals and other social functions",807,1,10000
"57ba8e9457024ed4bbf5d910d1b98591","Property rates (taxes)",802,2,
"57ba8e9457024ed4bbf5d910d1b98591","Pension and social security payments",805,2,
"57ba8e9457024ed4bbf5d910d1b98591","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"57ba8e9457024ed4bbf5d910d1b98591","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"57ba8e9457024ed4bbf5d910d1b98591","Interest on loans",808,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Pension and social security payments",805,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Local Service tax",804,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Remittances, gifts, and other transfers",806,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Interest on loans",808,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Income tax",801,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Property rates (taxes)",802,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"57bffaba1b7e46f58b60fa9c0948e0fb","Funerals and other social functions",807,1,6000
"57dc4b8d45af456f93137c78f770b884","Income tax",801,2,
"57dc4b8d45af456f93137c78f770b884","Local Service tax",804,2,
"57dc4b8d45af456f93137c78f770b884","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"57dc4b8d45af456f93137c78f770b884","Funerals and other social functions",807,1,30000
"57dc4b8d45af456f93137c78f770b884","Pension and social security payments",805,2,
"57dc4b8d45af456f93137c78f770b884","Interest on loans",808,2,
"57dc4b8d45af456f93137c78f770b884","Remittances, gifts, and other transfers",806,1,70000
"57dc4b8d45af456f93137c78f770b884","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"57dc4b8d45af456f93137c78f770b884","Property rates (taxes)",802,2,
"57dc4b8d45af456f93137c78f770b884","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5824cf99fa5a4d309164f552396aba5a","Remittances, gifts, and other transfers",806,2,
"5824cf99fa5a4d309164f552396aba5a","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"5824cf99fa5a4d309164f552396aba5a","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"5824cf99fa5a4d309164f552396aba5a","Interest on loans",808,2,
"5824cf99fa5a4d309164f552396aba5a","Property rates (taxes)",802,2,
"5824cf99fa5a4d309164f552396aba5a","Local Service tax",804,2,
"5824cf99fa5a4d309164f552396aba5a","Funerals and other social functions",807,1,50000
"5824cf99fa5a4d309164f552396aba5a","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"5824cf99fa5a4d309164f552396aba5a","Pension and social security payments",805,2,
"5824cf99fa5a4d309164f552396aba5a","Income tax",801,2,
"5862316eafcf4a14bd059881a1dd0086","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"5862316eafcf4a14bd059881a1dd0086","Others (like subscriptions, interest to consumer debts, etc.)",809,1,156000
"5862316eafcf4a14bd059881a1dd0086","Remittances, gifts, and other transfers",806,2,
