"t0_hhid","APCode","hhid","s6cq03a","s6cq03b","s6cq03c","s6cq03d","s6cq03e","s6cq03f","s6cq04a","s6cq04b","s6cq04c","s6cq05a","s6cq05b","s6cq05c","s6cq06","s6cq07","s6cq08","s6cq09","s6cq10","s6cq11","s6cq12","s6cq13a","s6cq13b","s6cq14a","s6cq14b","s6cq15","s6cq15b","s6cq15c","s6cq16"
"H2350302",23,"21c1e89cf5b74595b06ebbd7bc9271c8",15,1,2,1,2,2,0,,,0,,,14,6,0,0,1,0,0,0,,0,,4,1,4,1
"H2350302",26,"21c1e89cf5b74595b06ebbd7bc9271c8",6,1,2,1,2,2,0,,,0,,,5,6,0,0,0,3,0,0,,0,,2,1,4,1
"H1721001",23,"220e6e6cd04e48fda927b0736a33769f",1,1,,1,,2,0,,,0,,,8,0,0,0,0,7,0,0,,0,,0,5,,1
"H3770101",23,"22332408a42c448fa7ac8f958aea186f",0,,,,,2,0,,,0,,,8,0,0,0,0,0,8,0,,0,,0,6,1,1
"6",23,"2333ca9510e4498f8d54172fa9728246",6,1,,1,,2,0,,,0,,,1,6,0,0,0,0,0,0,,1,7000,0,1,,2
"H1430701",23,"2347da6cb24c4be0afebe738c920950f",,,,,,,,,,,,,,,,,,,,,,,,,4,,
"H1670701",23,"23565eb411ee4d4fa2184a26d4c6fa91",9,1,3,1,3,2,0,,,0,,,19,0,0,0,0,0,10,0,,0,,0,1,,1
"H3360101",23,"23aacb17c7d14b7587e396301439e9b1",10,2,,2,,2,0,,,0,,,7,5,0,0,0,0,0,0,,0,,2,3,,1
"H1250701",23,"23b418ce7f8f4276aa4df9c04473aded",1,1,,1,4,2,0,,,0,,,5,0,0,0,0,0,4,0,,0,,0,5,1,1
"H1620601",23,"23db11534e2c4249b81c216e8b966629",2,4,9,4,9,2,0,,,0,,,0,0,2,0,0,0,0,0,,0,,0,6,5,1
"H1631001",26,"2411b6aa51194cc7bd8042149b27bd50",24,1,,1,7,1,0,,,0,,,6,18,0,0,0,0,0,0,,0,,0,1,,2
"H1631001",23,"2411b6aa51194cc7bd8042149b27bd50",30,1,,1,,2,0,,,0,,,26,9,0,0,0,2,3,0,,0,,0,1,3,2
"H0880502",23,"2421880afd1f46b190f4732fc8e5e835",6,1,3,1,3,2,0,,,0,,,8,5,0,0,0,7,0,0,,0,,0,3,5,1
"H1290701",23,"25c2024587844800b222361a9ab26749",4,1,,1,,2,1,1,,0,,,3,5,0,0,0,3,1,0,,0,,0,3,6,1
"H1080101",23,"25dc375c204c42e39c18b99f42fc1778",10,1,4,1,4,2,0,,,0,,,5,5,0,0,0,0,0,0,,0,,0,1,6,1
"H2001002",23,"26044ee7130241baba4bdc7a96acea48",11,1,,1,,2,0,,,0,,,15,3,0,0,0,0,4,0,,0,,3,1,3,1
"H1410201",23,"26368fde9fa44dd19e101c0b2efaebf0",1,1,,1,,2,0,,,0,,,18,0,0,0,0,0,15,0,,2,14000,0,1,3,1
"H4000501",23,"264b7a9fbdbc44c6898a02a98b23f99e",10,1,,1,,2,0,,,0,,,2,12,0,0,0,4,0,0,,0,,0,1,3,1
"H1480501",23,"2651254af3e44058890c9eb3c3409a41",2,5,7,5,7,2,0,,,0,,,4,0,0,0,0,0,2,0,,0,,0,3,,1
"H3110201",23,"2668508cadbf4cfbb5d1b183c94e2df7",2,4,,4,,2,0,,,0,,,7,0,0,0,0,0,3,0,,0,,2,1,,1
"H1700501",23,"2679d8e3f29c45da958667e8eb732ac6",2,1,7,1,7,2,0,,,0,,,9,0,0,0,0,0,7,0,,0,,0,3,4,1
"H3640101",23,"2685a33ecb68466d999caae3bdbdd921",8,1,2,1,2,2,0,,,0,,,11,0,0,1,0,0,0,0,,0,,2,1,3,1
"H0751001",23,"2699e718776c46c3bce1a0e2bec03fce",5,1,,1,2,2,0,,,0,,,15,0,0,0,0,0,10,0,,0,,0,3,,1
"H3970801",23,"27097004d4f94669ae340ca26746683a",8,1,,1,,2,0,,,0,,,3,5,0,0,0,0,0,0,,0,,0,1,6,1
"H0610502",23,"275105346d6546298931c7fc48c2180b",9,1,2,1,2,2,0,,,0,,,9,5,0,0,0,0,1,0,,2,7000,2,1,3,1
"H0610502",26,"275105346d6546298931c7fc48c2180b",1,1,2,1,2,2,0,,,0,,,1,3,0,0,0,0,3,0,,0,,0,3,,1
"H2150601",23,"27601ff81e98425c8616230962088eb4",3,1,,1,,2,0,,,0,,,5,0,0,0,0,1,1,0,,0,,0,1,3,1
"H3740701",26,"277509c12a5148299027784fbb1bfd7c",6,1,,1,,2,0,,,0,,,8,0,0,0,0,0,0,0,,0,,2,3,,1
"H1590903",23,"278f265f66af4decb24250d3bf8660af",15,1,2,1,2,2,0,,,0,,,2,13,0,0,0,0,0,0,,0,,0,3,4,1
"H1920701",23,"279ea3f4cec74bc8b427913dbdf52218",15,1,,2,,2,0,,,0,,,14,8,0,0,0,0,4,0,,0,,3,3,,1
"H2740402",23,"27a093bc2d67470cbe5e4924512c041c",7,1,3,1,3,2,0,,,0,,,6,8,0,0,0,7,0,0,,0,,0,1,5,1
"H0691103",23,"27aef0587e66425bba00b0b95bbae4d2",7,1,2,1,,1,0,,,0,,,8,4,0,0,0,0,0,0,,4,80000,1,1,,1
"H2351301",23,"27b6e91ecead43f9b441b684d9d0bc6d",2,1,,1,5,1,0,,,0,,,8,0,0,0,0,0,2,0,,0,,4,3,,1
"H2630501",23,"27c63ae2e23b464bb4b4761b51f89625",5,1,,1,,2,0,,,0,,,7,5,0,0,0,4,0,0,,0,,3,1,3,1
"H4230701",23,"280407199a6e4a3a98802ff094d8067a",10,2,,1,2,2,0,,,0,,,10,0,0,0,0,0,0,0,,0,,0,6,,1
"H2080503",23,"284476b0690d4911a73aef0c8f2ce96f",13,1,,1,,1,0,,,0,,,12,7,0,0,0,0,0,0,,4,32000,2,1,,1
"H3690301",23,"2845cc47e5704aa9ac7cdf15776878c0",2,5,,5,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,2,3,,1
"H4000101",23,"284b713e357144edb64d95deab3d0d6b",10,1,2,1,2,2,0,,,0,,,10,2,0,0,0,0,0,0,,0,,2,1,3,1
"H3630401",23,"28903024ec5c400c83377c8415c3f5a1",6,1,,1,,2,0,,,0,,,1,5,0,0,0,0,0,0,,0,,0,1,,1
"H1620901",23,"28a4313be38741dcbc036222837ce05d",19,1,10,1,10,2,0,,,0,,,19,0,0,0,0,0,0,0,,0,,0,1,,2
"H1620901",26,"28a4313be38741dcbc036222837ce05d",26,1,10,1,10,2,0,,,0,,,16,12,0,0,0,2,0,0,,0,,0,1,,2
"H4230101",23,"28a5169634564a4eb24773c42a88e997",3,1,,1,,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,,1
"H1860501",23,"28e84f72b4134aa9828ea477592d1acc",8,7,8,2,6,2,0,,,0,,,18,11,0,0,0,1,14,0,,0,,6,3,,1
"H3500301",23,"28fae53d8b8b40708861a82637daba05",9,1,2,1,2,2,0,,,0,,,1,8,0,0,0,0,0,0,,0,,0,6,5,1
"H2950701",23,"292b612919db497d9aa8a0f850c604a0",6,1,2,2,,2,0,,,0,,,30,4,0,0,0,0,0,0,,28,12000,0,1,,1
"H0370601",23,"295fa0511fcc44728e35080273e881bd",17,1,2,1,2,2,0,,,0,,,13,13,0,0,0,5,0,0,,3,18000,1,1,,1
"H1740801",23,"298d0a675d804e58bbd49ce037f2312d",15,1,2,1,2,1,0,,,0,,,15,0,0,0,0,0,0,0,,0,,0,1,3,1
"H1400802",23,"2996bdef98fc498eb7d1544ab289a949",9,1,2,1,2,2,0,,,0,,,13,0,0,0,0,0,0,0,,2,11000,2,1,3,1
"H1400802",26,"2996bdef98fc498eb7d1544ab289a949",4,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,3,1
"H4100601",23,"2a4e78a423c44854b320caf10951c60b",10,,,,,2,0,,,0,,,3,8,0,0,0,0,0,0,,0,,1,3,6,1
"H2161001",23,"2a544415eb344585b7a6541e6901bfa9",5,2,,2,,2,0,,,0,,,3,8,0,0,2,4,0,0,,0,,0,3,1,1
"H4280601",23,"2a7187b42b264744b3a9d30396eb7ae9",8,1,2,1,2,2,0,,,0,,,5,9,0,0,0,2,0,0,,2,13000,2,1,3,1
"H3660201",23,"2a85264bf5b74593930eae2103209224",3,1,2,1,2,2,0,,,0,,,9,0,0,0,0,0,5,0,,0,,1,1,3,1
"H3820301",23,"2a8818bbc9ca4387b66331f72ca7e262",7,1,2,1,2,2,0,,,0,,,7,0,0,0,0,0,0,0,,0,,0,1,3,1
"H4070301",27,"2ab832b9019a4d45b3b1c5a93eb436d5",10,1,,1,,2,0,,,0,,,10,27,0,0,5,19,0,0,,0,,3,3,,1
"H4300801",23,"2abb452a63654ddeadd351815d76cbc6",4,1,2,2,,2,0,,,0,,,2,12,0,0,0,6,0,0,,1,15000,3,3,6,1
"H0730701",23,"2ac0a1e73f624dfc91343ac47f68c9f4",10,1,,1,,2,0,,,0,,,20,4,0,0,0,0,6,0,,0,,0,3,,1
"H1590902",26,"2aee74b721804ccca2432403b51cd36d",17,1,2,1,2,2,0,,,0,,,17,0,0,0,0,0,0,0,,0,,0,1,,2
"H1590902",23,"2aee74b721804ccca2432403b51cd36d",6,1,2,1,2,2,0,,,0,,,6,0,0,0,0,0,0,0,,0,,0,3,,1
"H2200401",23,"2b330288fe5e430d97c750ee7d86941d",34,1,6,1,6,2,0,,,0,,,26,31,2,4,6,0,12,1,6000,0,,4,3,4,1
"H1650504",23,"2b80b3ba5e2a48028b2fdff1c0491d2c",26,3,7,3,7,2,0,,,0,,,22,10,0,0,0,0,0,0,,3,10000,3,1,3,1
"H1900402",23,"2b881b680b65407e8de6fae209a281c1",14,4,,2,4,2,0,,,0,,,16,0,0,0,1,0,0,0,,0,,1,3,1,1
"H3860701",23,"2bb93f7c98f748c88e4ed683a0aa0df0",12,1,7,1,7,2,0,,,0,,,15,12,0,0,0,6,3,0,,0,,6,5,1,1
"H3680401",23,"2be7329e10e5476cb60c21b3be722468",9,7,,4,7,2,0,,,0,,,12,7,0,10,0,0,0,0,,0,,0,1,6,1
"H1650301",23,"2bec695a80774434b93d95a49dfced8a",4,4,5,4,5,2,0,,,0,,,5,0,0,0,0,0,0,0,,0,,1,1,3,1
"H1290201",23,"2bfb2d5d0484428fb2747b0cecd88b2b",5,1,2,1,2,2,0,,,0,,,7,14,0,0,0,1,14,0,,1,7000,0,6,4,1
"H3760201",23,"2c0855f44ac340e2b0988c8dba22d4df",9,1,,1,,2,0,,,0,,,4,7,0,0,0,0,0,0,,1,15000,1,1,,1
"H1440503",23,"2c8a0ac39a1a441a96182ad2be1326d9",3,1,,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,3,2
"H0500401",23,"2c8e03b857bc459fb92fac9045dbcacf",6,7,,7,,1,0,,,0,,,7,5,0,0,0,0,0,0,,5,15000,1,1,4,1
"H1080301",27,"2ca559391bad4f74a1c81b90c85d20da",2,8,,8,,2,0,,,0,,,0,0,2,0,0,0,0,0,,0,,0,5,6,1
"H1080301",23,"2ca559391bad4f74a1c81b90c85d20da",40,1,2,1,,1,0,,,0,,,13,30,0,0,0,0,0,0,,0,,3,3,6,1
"H4210101",23,"2cb1f00388b745698cde84ee0091c1e5",5,1,2,1,2,2,0,,,0,,,10,5,0,0,4,2,0,0,,2,12000,2,1,3,1
"H1500801",23,"2cb797850b334f1e92c87498fc06141f",0,,,,,2,0,,,0,,,8,0,0,0,0,0,8,0,,0,,0,1,3,1
"H0460601",27,"2d2c5254d89d44a281918e10f477b1b8",6,5,,2,5,2,0,,,0,,,0,9,0,0,0,2,3,2,5000,0,,0,3,1,1
"H0460601",23,"2d2c5254d89d44a281918e10f477b1b8",15,2,,2,,2,0,,,0,,,3,12,0,0,0,0,0,0,,0,,0,3,1,1
"H1950201",23,"2d305d696eb545dabe6f90063342cdbc",1,1,,1,,2,1,1,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"H4020101",23,"2da33216d5e64e8b94e4c7978389945b",15,1,4,1,4,2,0,,,0,,,18,13,0,0,0,0,8,0,,5,8000,3,1,4,1
"H2620304",23,"2dccaa73a2344662a2071d34410deac2",12,1,3,1,3,2,0,,,0,,,4,8,0,0,0,0,0,0,,0,,0,1,,1
"H2460601",23,"2dd96e542ec149129f04e92caa96a30d",5,1,,1,,2,0,,,0,,,2,2,0,0,0,0,0,1,8000,0,,0,6,1,1
"H3830601",23,"2e856f1055a9440ab29a01767377b8a8",8,1,2,1,2,2,0,,,0,,,10,12,0,0,0,0,11,0,,0,,3,3,4,1
"H2240901",23,"2e93c77dde734e4f8e2bf910deae99e6",38,2,,2,,2,0,,,0,,,10,29,0,0,0,0,0,0,,0,,1,1,3,1
"H2021001",23,"2e9733cda05240f49b924ecbf59345f8",37,1,5,1,5,1,0,,,0,,,21,19,0,0,0,0,0,0,,0,,3,3,6,1
"H4080901",23,"2f67bb8389de463ab688583c2d2e587b",7,2,,2,,2,0,,,0,,,7,10,0,0,10,0,0,0,,0,,0,1,3,1
"H3930501",23,"2f99cc17b95e4975831157be7e36c887",22,1,2,1,2,2,0,,,0,,,25,17,0,0,0,5,7,0,,2,5000,6,1,,1
"H2021003",23,"2fbcb4058ac741b1824b5549f01cc8ea",13,1,2,1,2,2,0,,,0,,,9,6,0,0,0,1,0,0,,0,,1,3,1,1
"H3980701",23,"2fca548371394d989c42a2857d246721",13,1,2,1,2,2,0,,,0,,,5,11,0,0,0,1,0,0,,2,15000,0,1,5,1
"H2020702",23,"30477ce0dc9d465dae89d2011c010da3",2,1,,1,2,2,0,,,0,,,9,0,0,0,0,0,7,0,,0,,0,3,6,1
"H1820202",23,"3070915a431846e28dcff9ead5b40482",1,1,5,1,5,2,0,,,0,,,12,0,0,0,0,0,12,1,5000,0,,0,1,3,1
"H0900101",23,"30b36dc4f6bb4416970bd6680d83fd5f",3,2,4,2,,2,0,,,0,,,3,12,0,0,12,0,0,0,,0,,0,3,4,1
"H0541202",23,"30fd059d28da4805b36fe8b0e8e389b2",15,1,9,1,9,2,0,,,0,,,12,8,0,0,0,4,0,0,,0,,1,1,4,1
"H2990501",23,"314e0394767143658917172c39cd8104",8,2,,2,,2,0,,,0,,,2,6,0,0,0,0,0,0,,0,,0,6,,1
"H3650801",23,"3186525b4ddd43b1a71a759e7090dc38",68,1,2,1,2,2,0,,,0,,,17,51,0,0,0,0,0,0,,0,,0,1,3,1
"H3840301",23,"31a28b3746724f9d8c45280f0665e0cd",35,1,5,1,5,2,2,1,5,0,,,20,19,1,1,0,0,0,0,,2,18000,2,3,1,1
"H2230201",23,"31a380eb55f54da7a140b4fa43663356",12,1,2,1,2,2,0,,,0,,,6,12,0,0,0,0,5,0,,1,12000,0,3,,1
"H0860201",23,"31acd897c3d24c3fab2723e50152c386",11,10,,10,,2,0,,,0,,,2,16,0,0,0,7,0,0,,0,,0,3,1,1
"H3340501",23,"31ad2ecbbb2b415fbe958982b5502c35",26,3,5,3,5,1,0,,,0,,,26,11,0,0,0,0,9,4,12000,0,,6,3,,1
"H3340501",27,"31ad2ecbbb2b415fbe958982b5502c35",7,3,5,3,5,1,0,,,0,,,4,3,0,0,2,0,0,2,10000,0,,0,3,1,1
"H3830401",23,"32272b79d5e24586980bc3fcc226e34a",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0840903",23,"325c40ba1d1048148d7f34c0354af262",22,1,2,1,2,2,0,,,0,,,8,17,0,0,0,0,0,0,,0,,3,1,,1
"##N/A##",23,"326cfa25f0a54505a7a8526f4d9dfd21",20,2,,2,,2,0,,,0,,,13,10,0,0,0,0,0,0,,0,,3,1,,1
"H2250201",23,"3290dc38c12b4bdf8a98096dc5fce083",24,1,5,1,5,2,0,,,0,,,20,11,0,0,0,0,7,0,,0,,0,1,3,1
"H3830801",23,"329cfc32423747e2a8ae5a3384a858aa",10,5,6,5,6,1,0,,,0,,,23,18,0,0,0,0,12,0,,0,,3,1,3,1
"H1710901",23,"32e86c42baf14a2a80377b9206c590f0",9,1,2,1,2,2,0,,,0,,,5,4,0,0,0,0,0,0,,0,,0,3,4,1
"H4281001",23,"33432ba5d808486ca9a0dc3ff2fc8864",3,2,,2,,2,0,,,0,,,8,0,0,0,0,0,0,0,,3,12000,2,1,,1
"16",23,"336eaf99465645a9a411f706b1eefd43",8,1,,1,,2,0,,,0,,,8,5,0,0,0,0,5,0,,0,,0,1,3,1
"H0871001",23,"33af3617495d4f3f80a818e50cceb735",9,1,2,1,2,2,0,,,0,,,13,6,0,0,0,0,10,0,,0,,0,1,3,2
"H3780801",23,"33c7964fa7204590af3946a5efff2be6",4,1,,1,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,3,,1
"H4020601",23,"344fd6f624a940098ce14612c4439ed4",24,1,2,1,2,2,0,,,0,,,14,24,0,0,0,0,0,0,,9,10000,5,1,3,1
"H4220701",23,"3453773ffb6941b089ee7f38a4653c85",5,1,,1,,2,0,,,0,,,7,8,0,0,0,2,3,0,,2,18000,3,1,3,1
"H3980401",23,"3474cc69cdff415caa14e6004ff01ed3",2,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,2,7000,0,,0,3,1,1
"H1810403",23,"34aa6ac92c97484a915e9d8745ca7cc1",12,5,7,1,7,2,0,,,0,,,2,14,0,0,0,0,4,0,,0,,0,1,3,1
"H1820205",23,"34d45667ceda48fb90f63973cba4bc7d",1,1,,2,,2,0,,,0,,,10,0,0,0,0,0,9,0,,0,,0,3,,1
"H1531001",23,"35232cfc63de4b84af547e8f4b5d5c15",5,1,2,1,2,2,0,,,0,,,5,0,0,0,0,0,0,0,,0,,0,3,4,1
"H0391001",23,"354f0e8f814a487e8191d55a209d70db",21,14,,14,,2,0,,,0,,,15,23,0,0,0,13,0,0,,2,20000,2,1,4,1
"H0391001",26,"354f0e8f814a487e8191d55a209d70db",1,1,,1,,2,0,,,0,,,2,0,0,0,0,0,1,0,,0,,0,1,,1
"H2060701",23,"3556428069ca4b4bb57808925da8a4be",2,1,4,1,4,2,0,,,0,,,3,0,0,0,0,0,0,0,,1,18000,0,3,4,1
"H4030501",23,"356ec8127c864861b595272b36ccf1d3",6,1,,1,,2,0,,,0,,,6,12,0,0,0,0,12,0,,0,,0,1,4,1
"H1940201",26,"35711b5f62334d8fa30148ea5f65e6da",8,1,,1,3,2,0,,,0,,,4,5,0,0,0,0,0,0,,0,,1,3,5,1
"H1940201",23,"35711b5f62334d8fa30148ea5f65e6da",15,1,,1,,2,0,,,0,,,6,10,0,0,0,0,0,0,,0,,1,3,5,1
"H1070102",23,"35a4759799a64403abcf6f526479d782",1,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,1,3,6,1
"H1440301",23,"360de05557044ac08a7f3cd5639f5eac",12,1,2,1,2,2,11,1,2,0,,,1,0,11,0,0,0,0,0,,0,,0,1,3,1
"H1970701",23,"369270bfeb2444a0bce85ac5516b6cd5",9,1,2,1,2,2,0,,,0,,,9,0,0,0,0,0,0,0,,0,,0,3,5,1
"H1830501",23,"36e21020385441a4bde81297a467feba",12,1,,1,,2,0,,,0,,,12,5,0,2,0,0,0,0,,0,,3,3,4,1
"H3950501",23,"37303592e32e42d4b94aba1eaa18ce87",22,1,2,1,2,2,0,,,0,,,9,18,0,0,2,0,0,0,,0,,3,1,4,1
"H4300901",23,"374bb0ca1784414a855cbda492271c85",8,1,2,1,2,2,0,,,0,,,12,8,0,0,0,8,0,0,,3,12000,1,1,6,1
"H3840801",23,"37a582f68612486a8144cd0abe64262c",20,1,6,1,6,2,0,,,0,,,16,10,0,0,0,3,0,0,,0,,3,3,1,1
"H3840801",26,"37a582f68612486a8144cd0abe64262c",7,1,6,1,6,2,0,,,0,,,10,10,0,0,0,0,7,0,,4,9000,2,1,3,1
"##N/A##",23,"37cc1f4211c74fe8864dc44b67591f92",3,1,2,1,2,2,0,,,0,,,7,5,0,0,0,0,9,0,,0,,0,1,3,1
"H4101001",23,"382197af75104c469114b15db7361d0f",3,2,,2,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,1,3,,1
"H2230801",23,"382f2314c76c44f98155b7bea0e39654",17,1,2,1,2,2,0,,,0,,,7,11,0,0,0,0,0,0,,0,,1,1,3,1
"H0870701",23,"382fa15a185c4992a7a2d7fdb70f0db5",18,2,,2,,2,0,,,0,,,15,5,0,0,0,0,0,0,,2,12000,0,1,,2
"H2280301",23,"3836197d0aa144d9aea4bbccc28232a2",8,1,,1,2,2,0,,,0,,,4,7,0,0,0,0,2,0,,1,14000,0,1,3,1
"H2660501",27,"38a0ae63acdc42e4aae1d1a07d73515c",1,2,,2,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H2620701",23,"38c783c5b9aa415ab3023259ddb1198a",10,2,,2,,2,0,,,0,,,10,5,0,0,0,0,0,0,,0,,5,3,,1
"H0740301",23,"38cad17a27a24d5eac5472d9e1af1df4",20,1,2,1,2,2,0,,,0,,,16,10,0,0,0,6,0,0,,0,,0,1,3,1
"H0740301",26,"38cad17a27a24d5eac5472d9e1af1df4",3,1,2,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,3,1
"H1921001",23,"38caf316e0404a58b426eaff6b269196",1,1,5,1,5,2,0,,,0,,,20,30,0,4,0,0,36,1,6000,6,10000,4,1,3,1
"H3210601",23,"38d08be913a94b9ea0e69a5cf5145064",16,1,,1,,2,0,,,0,,,12,10,0,0,0,4,0,0,,0,,2,3,1,1
"H1550501",23,"391c2a4173344a90b21eda1858c4fd84",4,1,2,1,2,2,0,,,0,,,6,0,0,0,0,0,0,0,,2,5000,0,1,3,1
"H2660801",27,"39a269be347c444eb248f324f09fc9a5",12,2,,2,,2,0,,,0,,,2,10,0,0,0,0,0,0,,0,,0,1,3,2
"H2280201",23,"39ec9b23a35f43228f8de99fd28eb281",20,1,2,1,2,2,0,,,0,,,12,12,0,0,0,0,0,0,,0,,4,3,4,1
"H1090904",23,"39fffc7e84ed4f3199acc6c112eb51a1",0,,,,,2,0,,,0,,,8,0,0,0,0,0,5,0,,0,,3,1,3,1
"H1701001",23,"3a5ff7fbc4804c359b81467f3ce2949f",9,3,4,3,4,2,0,,,0,,,6,12,0,7,0,0,0,0,,2,15000,0,1,3,1
"H3640501",23,"3a89b9c182ff4e90a0e05e12162a5d56",5,1,,1,,2,0,,,0,,,5,0,0,0,0,0,0,0,,0,,0,3,,1
"6",23,"3aa5e5cbfb294633b2b4c167e0c4dfa1",10,1,,1,,2,0,,,0,,,10,0,0,2,0,0,0,0,,0,,2,1,3,1
"H1810304",23,"3acf3cc20c914c759c2d9c528bc0fb10",2,1,,1,,2,0,,,0,,,8,0,1,0,3,0,0,0,,1,12000,3,1,3,1
"H3380101",23,"3af922a9250b403a98d7efce390bb840",5,1,6,1,6,2,0,,,0,,,0,0,0,0,0,0,0,5,10000,0,,0,1,3,1
"H1430601",23,"3b469b3a994f4617aaf0ec64d1483140",16,1,2,1,2,2,0,,,0,,,13,18,0,0,0,0,8,0,,7,13000,0,1,3,1
"H1430601",26,"3b469b3a994f4617aaf0ec64d1483140",10,7,,7,,2,0,,,0,,,10,0,0,0,0,0,0,0,,0,,0,1,3,2
"H1430601",27,"3b469b3a994f4617aaf0ec64d1483140",12,7,,7,,2,0,,,0,,,5,7,0,0,0,0,0,0,,0,,0,1,3,2
"H0840901",23,"3b657795912345dc92979b423193b066",3,1,2,1,2,2,0,,,0,,,5,0,0,0,0,0,0,0,,0,,2,3,1,1
"H2160101",23,"3b8bcb63695846fb8f842e485a129d7a",10,1,,1,,2,0,,,0,,,4,6,0,0,0,0,0,0,,0,,0,1,6,1
"H1620802",23,"3baf50e92b894c2ea14fc2c34b4a020a",17,1,4,1,4,2,0,,,0,,,22,10,0,6,0,2,0,0,,4,10000,3,1,3,1
"H1620802",26,"3baf50e92b894c2ea14fc2c34b4a020a",7,1,4,1,4,2,0,,,0,,,4,4,0,0,0,1,0,0,,0,,0,6,1,1
"H1490602",23,"3bb537a34ec14d16bb9f3c8b5d66dd83",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,3,,1
"H2370804",23,"3bd3331e5564403193d4ccbdd898b89a",5,1,,1,3,2,0,,,0,,,1,7,0,0,0,3,0,0,,0,,0,1,3,1
"H1400304",23,"3bfbd631e58c4c448e1cff3de710dfc6",12,2,,2,,1,0,,,0,,,4,8,0,0,0,0,0,0,,0,,0,5,6,1
"H0600801",23,"3c09909a20c54f7e92e202daf8b4831f",11,1,2,1,2,2,0,,,0,,,8,12,0,0,0,0,7,0,,0,,2,1,4,1
"23",23,"3ca1f6cfbb3c4909a72db3ba432a374b",3,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,1,18000,0,1,3,1
"H3850701",23,"3cb01afeecc743ea8ccf3e8a7ee4afb3",16,1,,3,,2,0,,,0,,,5,11,0,0,0,0,0,0,,0,,0,5,3,1
"H1400403",23,"3d2bf2ca3517452498a4f93b3fa712f1",12,2,3,2,3,2,0,,,0,,,9,4,0,0,0,0,0,0,,1,15000,0,1,5,1
"H4250401",23,"3d5c19ea73524c6f9a932a062e0b2b3a",6,1,10,1,,2,0,,,0,,,8,7,0,0,0,5,2,0,,0,,2,3,6,1
"H0870601",23,"3d5fa3f997814abb94a865153a075f97",3,2,3,2,3,2,0,,,0,,,8,0,0,0,5,0,0,0,,0,,0,3,4,1
"H1310703",23,"3d633012f62f4a1693b032bb87573c1e",2,1,,1,,2,0,,,0,,,10,0,0,0,0,0,8,0,,0,,0,5,6,1
"H4030901",23,"3dc7ce254b7f40b3b8ad153adf1d07a5",13,1,,1,2,2,0,,,0,,,6,9,0,0,0,2,0,0,,0,,0,1,3,1
"H3500101",26,"3dd29de6cc6743fcaf101aeeef9dc8da",2,2,,2,,2,0,,,0,,,2,6,0,0,0,6,0,0,,0,,0,1,4,1
"H3500101",23,"3dd29de6cc6743fcaf101aeeef9dc8da",10,2,,2,,2,0,,,0,,,7,35,0,1,0,31,0,0,,0,,0,4,1,1
"H3590501",23,"3e27af60ec544b95b905a8859d6d0382",6,2,,2,,2,0,,,0,,,7,12,0,0,5,0,8,0,,0,,0,5,1,2
"H2160301",23,"3e9db702e60b4f03a8cdd827cd6a5d13",1,2,,2,,2,1,2,,0,,,3,0,0,0,0,0,0,0,,0,,2,3,,1
"H1830301",23,"3f03088b9f2d4a4bb17f4c2b08eb006b",16,1,2,1,2,2,0,,,0,,,16,0,0,0,0,0,0,0,,0,,0,1,3,1
"H3210501",23,"3f883779aa6e46ea96315b4730bdeb1c",3,1,3,1,3,2,0,,,0,,,22,6,0,0,0,6,0,0,,17,20000,2,1,3,1
"H1530501",23,"3f90136eef684fcaa9ba2f718da491a1",20,1,2,1,2,2,0,,,0,,,30,10,0,0,0,0,0,0,,16,16000,4,1,3,1
"H2031002",23,"3fbb9915c5764445beae0fa75a509187",3,1,3,1,3,2,2,1,,0,,,3,0,0,0,0,0,0,0,,0,,0,6,,1
"H3840101",23,"3fe7a463a074406f82c1475a5c28e730",6,6,,1,6,2,0,,,0,,,5,10,0,0,0,4,4,0,,1,15000,0,3,1,1
"H3510301",23,"3ff65bff324d43daaba32def1e823094",2,,,,,2,0,,,0,,,0,0,0,0,0,0,0,2,7500,0,,0,3,,1
"H1650501",23,"401b7c77260b4e568263be05b47bfc5d",25,6,10,6,10,2,0,,,0,,,12,13,0,0,0,0,0,0,,0,,0,5,6,1
"H2641101",23,"403c3e615b9044009f147033aa97dc0f",15,1,,1,,2,0,,,0,,,0,11,0,0,0,0,0,4,10750,0,,0,1,3,1
