"t0_hhid","hhid","A10itemcod_ID","s10q01a","s10q02a","s10q03aa","s10q04a","s10q05aa","s10q06a","s10q07aa","s10q08a"
"H2350302","21c1e89cf5b74595b06ebbd7bc9271c8",7,1,30000,1,1,,2,,
"H2350302","21c1e89cf5b74595b06ebbd7bc9271c8",1,0,,1,1,,2,,
"H2350302","21c1e89cf5b74595b06ebbd7bc9271c8",3,1,3000,1,1,,2,,
"H3100601","21edfe97cd3b4d8b95d3bf4876da3784",8,1,4000,1,1,,2,,
"H3100601","21edfe97cd3b4d8b95d3bf4876da3784",1,2,12000,2,1,,2,,
"H3100601","21edfe97cd3b4d8b95d3bf4876da3784",3,1,3000,1,1,,2,,
"H3100601","21edfe97cd3b4d8b95d3bf4876da3784",19,1,35000,1,1,,1,1,3000
"H3100601","21edfe97cd3b4d8b95d3bf4876da3784",5,1,100000,1,1,,2,,
"H1721001","220e6e6cd04e48fda927b0736a33769f",3,1,2500,1,1,,2,,
"H1721001","220e6e6cd04e48fda927b0736a33769f",19,1,80000,1,1,,2,,
"H1721001","220e6e6cd04e48fda927b0736a33769f",1,3,15000,3,1,,2,,
"H3770101","22332408a42c448fa7ac8f958aea186f",3,1,5000,1,1,,2,,
"H3770101","22332408a42c448fa7ac8f958aea186f",1,7,49000,7,1,,2,,
"H3080301","225eff3a30f74df8bb7cdcb2e8b53e7c",3,1,3000,1,1,,2,,
"H3080301","225eff3a30f74df8bb7cdcb2e8b53e7c",8,1,2000,1,1,,2,,
"H3080301","225eff3a30f74df8bb7cdcb2e8b53e7c",1,3,18000,3,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",5,1,30000,1,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",22,1,6000,1,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",8,2,5000,2,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",12,1,5000,1,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",13,1,10000,1,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",19,1,50000,1,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",7,2,10000,2,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",4,2,5000,2,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",1,6,20000,6,1,,2,,
"H0900701","22750893266c4435af80e032a5e7b47e",3,3,10000,3,1,,2,,
"H3400101","22774e78ebc7419585623a08408c8f96",19,1,20000,1,1,,2,,
"H3400101","22774e78ebc7419585623a08408c8f96",1,2,10000,2,1,,2,,
"H3400101","22774e78ebc7419585623a08408c8f96",4,1,5000,1,1,,2,,
"H3400101","22774e78ebc7419585623a08408c8f96",3,1,6000,1,1,,2,,
"18","2280f98ac1154da5a0ef0da8b4a4f4bb",5,1,30000,1,1,,2,,
"18","2280f98ac1154da5a0ef0da8b4a4f4bb",22,1,20000,3,1,,2,,
"18","2280f98ac1154da5a0ef0da8b4a4f4bb",1,3,21000,10,1,,2,,
"18","2280f98ac1154da5a0ef0da8b4a4f4bb",4,2,10000,2,1,,2,,
"18","2280f98ac1154da5a0ef0da8b4a4f4bb",3,2,14000,4,1,,2,,
"H2620904","22844fe158ea44cfae5adc224aa11ad0",4,1,4000,1,1,,2,,
"H2620904","22844fe158ea44cfae5adc224aa11ad0",3,1,4000,1,1,,2,,
"H2620904","22844fe158ea44cfae5adc224aa11ad0",1,2,14000,2,1,,2,,
"H3590601","22d8f0b251ec485696b45326748c7d05",1,4,32000,4,1,,2,,
"H3590601","22d8f0b251ec485696b45326748c7d05",3,1,7000,1,1,,2,,
"6","2333ca9510e4498f8d54172fa9728246",1,1,5000,1,1,,2,,
"6","2333ca9510e4498f8d54172fa9728246",3,1,7000,1,1,,2,,
"H3100801","2353319aa97d462c9e3c06c17aeb4da9",3,1,3500,1,1,,2,,
"H3100801","2353319aa97d462c9e3c06c17aeb4da9",1,2,9000,2,1,,1,2,3000
"H3100801","2353319aa97d462c9e3c06c17aeb4da9",8,1,1500,1,1,,2,,
"H1670701","23565eb411ee4d4fa2184a26d4c6fa91",4,,,,,,,,
"H1670701","23565eb411ee4d4fa2184a26d4c6fa91",3,1,7000,1,1,,2,,
"H1670701","23565eb411ee4d4fa2184a26d4c6fa91",1,3,30000,3,1,,2,,
"H2780401","236a304fee1f4de29bda56006ce6d313",3,2,3000,2,1,,2,,
"H2780401","236a304fee1f4de29bda56006ce6d313",1,4,24000,4,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",13,3,10000,3,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",8,1,3000,1,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",22,1,600000,1,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",7,3,10000,3,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",19,10,200000,10,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",3,3,10000,3,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",12,3,15000,3,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",5,1,70000,1,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",1,10,60000,10,1,,2,,
"H3360101","23aacb17c7d14b7587e396301439e9b1",4,5,20000,7,1,,2,,
"H1250701","23b418ce7f8f4276aa4df9c04473aded",1,3,20000,3,1,,2,,
"H1250701","23b418ce7f8f4276aa4df9c04473aded",4,1,4500,1,1,,2,,
"H1250701","23b418ce7f8f4276aa4df9c04473aded",3,1,5000,1,1,,2,,
"H1620601","23db11534e2c4249b81c216e8b966629",1,4,8000,4,1,,2,,
"H1620601","23db11534e2c4249b81c216e8b966629",3,1,2000,1,1,,2,,
"H2970801","23f174f359df441baa0a8f74e693287b",1,1,4000,1,1,,2,,
"H2970801","23f174f359df441baa0a8f74e693287b",3,1,3000,1,1,,2,,
"H2970801","23f174f359df441baa0a8f74e693287b",8,1,3000,1,1,,2,,
"H1631001","2411b6aa51194cc7bd8042149b27bd50",4,3,21000,3,1,,2,,
"H1631001","2411b6aa51194cc7bd8042149b27bd50",2,1,80000,1,1,,2,,
"H1631001","2411b6aa51194cc7bd8042149b27bd50",1,7,35000,7,1,,1,3,0
"H1631001","2411b6aa51194cc7bd8042149b27bd50",3,2,4000,1,1,,2,,
"H1631001","2411b6aa51194cc7bd8042149b27bd50",5,1,20000,1,1,,2,,
"H0880502","2421880afd1f46b190f4732fc8e5e835",3,1,4000,1,1,,2,,
"H0880502","2421880afd1f46b190f4732fc8e5e835",1,2,15000,1,1,,2,,
"96","242bbe13d9f14404a1910a49c7472422",3,1,2000,1,1,,2,,
"96","242bbe13d9f14404a1910a49c7472422",1,0,,0,1,,1,1,0
"H2390302","242f1a71e8a849a19b74d971b9696d78",22,0,,0,1,,2,,
"H2390302","242f1a71e8a849a19b74d971b9696d78",1,1,5000,1,1,,2,,
"H2390302","242f1a71e8a849a19b74d971b9696d78",3,1,1500,1,1,,2,,
"H2390302","242f1a71e8a849a19b74d971b9696d78",4,,,,,,,,
"H4050701","2570caa433474d98928ccd781062d647",12,1,5000,1,1,,2,,
"H4050701","2570caa433474d98928ccd781062d647",3,2,6000,2,1,,2,,
"H4050701","2570caa433474d98928ccd781062d647",14,1,150000,1,1,,2,,
"H4050701","2570caa433474d98928ccd781062d647",1,2,8000,2,1,,2,,
"H4050701","2570caa433474d98928ccd781062d647",4,1,2000,1,1,,2,,
"H4140801","25a7e21d7611402293c81b697f449178",1,2,8000,2,1,,2,,
"H4140801","25a7e21d7611402293c81b697f449178",3,1,2000,1,1,,2,,
"H1290701","25c2024587844800b222361a9ab26749",1,4,25000,4,1,,2,,
"H1290701","25c2024587844800b222361a9ab26749",14,0,,0,1,,1,1,10000
"H1290701","25c2024587844800b222361a9ab26749",3,1,2500,1,1,,2,,
"H1080101","25dc375c204c42e39c18b99f42fc1778",3,1,6000,1,1,,2,,
"H1080101","25dc375c204c42e39c18b99f42fc1778",1,3,15000,3,1,,2,,
"H1080101","25dc375c204c42e39c18b99f42fc1778",4,1,5000,1,1,,2,,
"H2001002","26044ee7130241baba4bdc7a96acea48",1,2,14000,2,1,,2,,
"H2990801","26200519fc50421e9124dc3852fa642b",1,3,10000,3,1,,2,,
"H2990801","26200519fc50421e9124dc3852fa642b",3,1,4000,1,1,,2,,
"H2560301","263386962d864374a0b0a547ec62a350",13,1,10000,1,1,,2,,
"H2560301","263386962d864374a0b0a547ec62a350",3,1,5000,1,1,,2,,
"H2560301","263386962d864374a0b0a547ec62a350",1,2,15000,2,1,,2,,
"H1410201","26368fde9fa44dd19e101c0b2efaebf0",1,1,10000,1,1,,2,,
"H1410201","26368fde9fa44dd19e101c0b2efaebf0",14,0,,0,1,,1,1,30000
"H1410201","26368fde9fa44dd19e101c0b2efaebf0",3,0,,1,1,,2,,
"H3580301","2641680671474fe9bcaa1400527c6fad",1,1,3000,2,1,,1,1,0
"H3580301","2641680671474fe9bcaa1400527c6fad",3,1,2000,2,1,,2,,
"H0530901","2647383402b94a0ab2a5c9833b84ab94",19,1,35000,1,1,,1,1,0
"H0530901","2647383402b94a0ab2a5c9833b84ab94",4,1,2000,1,1,,2,,
"H0530901","2647383402b94a0ab2a5c9833b84ab94",1,6,40000,6,1,,2,,
"H0530901","2647383402b94a0ab2a5c9833b84ab94",3,2,6000,2,1,,2,,
"H0530901","2647383402b94a0ab2a5c9833b84ab94",12,1,3000,1,1,,2,,
"H4000501","264b7a9fbdbc44c6898a02a98b23f99e",1,5,35000,5,1,,2,,
"H1480501","2651254af3e44058890c9eb3c3409a41",3,1,1000,1,1,,2,,
"H1480501","2651254af3e44058890c9eb3c3409a41",1,4,8000,4,1,,2,,
"H0740803","26632ef456944935a402d8947d1a2c3b",3,1,5000,1,1,,2,,
"H0740803","26632ef456944935a402d8947d1a2c3b",12,1,3000,1,1,,2,,
"H0740803","26632ef456944935a402d8947d1a2c3b",1,5,50000,2,1,,2,,
"H3110201","2668508cadbf4cfbb5d1b183c94e2df7",1,4,34000,2,1,,2,,
"H3110201","2668508cadbf4cfbb5d1b183c94e2df7",3,0,,1,1,,2,,
"H0881102","2670bf53415049f5b5bbb050fcae0c78",1,2,12000,2,1,,2,,
"H0881102","2670bf53415049f5b5bbb050fcae0c78",3,0,,0,1,,1,1,0
"H0731101","2677113d57394f6ab63d882b90de3cab",13,1,5000,1,1,,2,,
"H0731101","2677113d57394f6ab63d882b90de3cab",3,1,8000,1,1,,2,,
"H0731101","2677113d57394f6ab63d882b90de3cab",4,1,5000,1,1,,2,,
"H0731101","2677113d57394f6ab63d882b90de3cab",1,1,4000,1,1,,2,,
"H1700501","2679d8e3f29c45da958667e8eb732ac6",3,1,25000,1,1,,2,,
"H1700501","2679d8e3f29c45da958667e8eb732ac6",1,4,10000,4,1,,2,,
"H3640101","2685a33ecb68466d999caae3bdbdd921",1,3,21000,3,1,,2,,
"H3640101","2685a33ecb68466d999caae3bdbdd921",3,1,5000,1,1,,2,,
"H0751001","2699e718776c46c3bce1a0e2bec03fce",5,1,100000,1,1,,2,,
"H0751001","2699e718776c46c3bce1a0e2bec03fce",1,3,9000,3,1,,1,2,0
"H0751001","2699e718776c46c3bce1a0e2bec03fce",3,0,,1,1,,1,1,0
"H3970801","27097004d4f94669ae340ca26746683a",22,1,2000,1,1,,2,,
"H3970801","27097004d4f94669ae340ca26746683a",4,1,4000,1,1,,2,,
"H3970801","27097004d4f94669ae340ca26746683a",1,2,11000,2,1,,2,,
"H3970801","27097004d4f94669ae340ca26746683a",3,1,3000,1,1,,2,,
"H3550902","2715f05e4bf74f6ab35ff0768a856cb6",3,1,3000,1,1,,2,,
"H3550902","2715f05e4bf74f6ab35ff0768a856cb6",12,1,4000,1,1,,2,,
"H3550902","2715f05e4bf74f6ab35ff0768a856cb6",1,3,14000,3,1,,2,,
"H3550902","2715f05e4bf74f6ab35ff0768a856cb6",7,1,3000,1,2,1,,,
"H3550902","2715f05e4bf74f6ab35ff0768a856cb6",19,1,60000,1,2,3,,,
"H2790102","27237f19b78242dbbc6cb7d6b3b68dcb",3,1,1500,1,1,,2,,
"H2790102","27237f19b78242dbbc6cb7d6b3b68dcb",1,3,14000,3,1,,2,,
"H0610502","275105346d6546298931c7fc48c2180b",1,7,40000,7,1,,2,,
"H0610502","275105346d6546298931c7fc48c2180b",19,2,115000,2,1,,2,,
"H0610502","275105346d6546298931c7fc48c2180b",3,3,10000,3,1,,2,,
"H0610502","275105346d6546298931c7fc48c2180b",7,1,10000,1,1,,2,,
"H2150601","27601ff81e98425c8616230962088eb4",1,3,12000,3,1,,1,3,0
"H2150601","27601ff81e98425c8616230962088eb4",3,2,4000,1,1,,2,,
"H2150601","27601ff81e98425c8616230962088eb4",4,1,4000,1,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",5,1,60000,1,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",12,1,5000,1,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",3,3,12000,3,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",4,1,3000,1,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",13,1,8000,1,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",1,3,24000,2,1,,2,,
"H3060501","276430fd8d7e4c538fcf6a118cc79610",8,1,2500,1,1,,2,,
"H3740701","277509c12a5148299027784fbb1bfd7c",1,8,80000,8,1,,2,,
"H0640401","277c319e936645189c0663410f818f91",3,2,8000,2,1,,2,,
"H0640401","277c319e936645189c0663410f818f91",12,1,5000,1,1,,2,,
"H0640401","277c319e936645189c0663410f818f91",1,3,20000,3,1,,2,,
"H0640401","277c319e936645189c0663410f818f91",19,0,,0,1,,1,1,0
"H1590903","278f265f66af4decb24250d3bf8660af",1,6,12000,6,1,,1,3,0
"H1590903","278f265f66af4decb24250d3bf8660af",3,1,2000,1,1,,2,,
"H1920701","279ea3f4cec74bc8b427913dbdf52218",1,3,15000,3,1,,2,,
"H1920701","279ea3f4cec74bc8b427913dbdf52218",19,1,45000,1,1,,2,,
"H1920701","279ea3f4cec74bc8b427913dbdf52218",12,1,7000,1,1,,2,,
"H1920701","279ea3f4cec74bc8b427913dbdf52218",4,1,2000,1,1,,2,,
"H1920701","279ea3f4cec74bc8b427913dbdf52218",3,1,3000,2,1,,2,,
"H1920701","279ea3f4cec74bc8b427913dbdf52218",5,1,30000,1,1,,2,,
"H2740402","27a093bc2d67470cbe5e4924512c041c",12,1,5000,1,1,,2,,
"H2740402","27a093bc2d67470cbe5e4924512c041c",3,1,2000,1,1,,2,,
"H2740402","27a093bc2d67470cbe5e4924512c041c",1,3,15000,3,1,,2,,
"H2351301","27b6e91ecead43f9b441b684d9d0bc6d",4,0,,2,2,3,,,
"H2351301","27b6e91ecead43f9b441b684d9d0bc6d",3,2,5000,2,1,,2,,
"H2351301","27b6e91ecead43f9b441b684d9d0bc6d",1,2,10000,3,1,,2,,
"H2351301","27b6e91ecead43f9b441b684d9d0bc6d",12,1,4000,1,1,,2,,
"H2351301","27b6e91ecead43f9b441b684d9d0bc6d",22,1,5000,1,1,,2,,
"H2630501","27c63ae2e23b464bb4b4761b51f89625",1,1,6000,1,1,,2,,
"H2630501","27c63ae2e23b464bb4b4761b51f89625",3,1,4000,1,1,,2,,
"H3850401","27ce738560f943668b37d06deeba9ce9",1,2,8000,2,1,,2,,
"H3850401","27ce738560f943668b37d06deeba9ce9",3,0,,1,1,,1,1,0
"H4230701","280407199a6e4a3a98802ff094d8067a",1,3,12000,3,1,,2,,
"H4230701","280407199a6e4a3a98802ff094d8067a",3,1,3000,1,1,,2,,
"H0460301","281285cc889c4acfa7db3eaeb3bc8f8c",1,3,15000,3,1,,2,,
"H0460301","281285cc889c4acfa7db3eaeb3bc8f8c",3,1,5000,1,1,,2,,
"H4240501","281c1e9727e24f3ba38cd4bdaec4edf0",1,3,20000,3,1,,1,1,2000
"H4240501","281c1e9727e24f3ba38cd4bdaec4edf0",3,2,7000,1,1,,2,,
"H2080503","284476b0690d4911a73aef0c8f2ce96f",4,2,10000,2,1,,2,,
"H2080503","284476b0690d4911a73aef0c8f2ce96f",3,1,5000,1,1,,2,,
"H2080503","284476b0690d4911a73aef0c8f2ce96f",1,4,15000,4,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",4,1,4500,1,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",3,2,16000,2,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",1,7,35000,7,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",19,1,80000,1,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",12,3,12000,3,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",7,2,15000,2,2,1,,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",8,2,10000,2,1,,2,,
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",5,2,200000,2,2,1,,,
"H4000101","284b713e357144edb64d95deab3d0d6b",1,3,21000,3,1,,2,,
"H4000101","284b713e357144edb64d95deab3d0d6b",3,1,3000,1,1,,2,,
"H4000101","284b713e357144edb64d95deab3d0d6b",22,1,3000,1,1,,2,,
"H0500801","2858bff25590478ea65c2b384ddf1351",3,1,3000,1,1,,2,,
"H0500801","2858bff25590478ea65c2b384ddf1351",1,3,10000,3,1,,2,,
"H0500801","2858bff25590478ea65c2b384ddf1351",8,1,1000,1,1,,2,,
"H0500801","2858bff25590478ea65c2b384ddf1351",12,1,2000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",19,2,60000,2,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",21,1,3500,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",5,1,10000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",3,2,10000,2,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",13,1,5000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",8,1,4000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",20,,,,,,,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",12,1,7000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",1,4,20000,4,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",7,1,6000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",9,1,5000,1,1,,2,,
"H3560201","286fb3a948f0476582bda5f78b7d1a5d",4,4,15000,4,1,,2,,
"H3630401","28903024ec5c400c83377c8415c3f5a1",1,1,10000,1,1,,2,,
"H3900101","28a179792a564fd496adc09a3de78988",1,2,8000,2,1,,2,,
"H1620901","28a4313be38741dcbc036222837ce05d",1,6,25000,6,1,,2,,
"H1620901","28a4313be38741dcbc036222837ce05d",4,1,3000,1,2,2,,,
"H4230101","28a5169634564a4eb24773c42a88e997",8,1,4000,1,1,,2,,
"H4230101","28a5169634564a4eb24773c42a88e997",1,1,7000,1,1,,1,1,0
"H4230101","28a5169634564a4eb24773c42a88e997",3,1,5000,1,1,,2,,
"H2030201","28b00383e78549e59d1653af0d7a1105",4,1,2500,1,2,1,,,
"H2030201","28b00383e78549e59d1653af0d7a1105",3,1,2500,1,1,,2,,
"H2030201","28b00383e78549e59d1653af0d7a1105",1,0,,0,1,,1,1,0
"H1860501","28e84f72b4134aa9828ea477592d1acc",19,1,7000,1,1,,2,,
"H1860501","28e84f72b4134aa9828ea477592d1acc",1,6,30000,14,1,,2,,
"H1860501","28e84f72b4134aa9828ea477592d1acc",14,2,240000,2,1,,2,,
"H3500301","28fae53d8b8b40708861a82637daba05",19,1,20000,1,1,,2,,
"H3500301","28fae53d8b8b40708861a82637daba05",1,3,20000,3,1,,2,,
"H3500301","28fae53d8b8b40708861a82637daba05",3,2,12000,2,1,,2,,
"H3500301","28fae53d8b8b40708861a82637daba05",4,1,4000,1,1,,2,,
"H2950701","292b612919db497d9aa8a0f850c604a0",1,3,9000,3,1,,2,,
"H2950701","292b612919db497d9aa8a0f850c604a0",3,1,4000,1,1,,2,,
"H0841101","29360ece47804a54999c867dc8b6815b",3,2,6000,2,1,,1,1,0
"H0841101","29360ece47804a54999c867dc8b6815b",1,4,17000,4,1,,1,1,0
"H2850502","29559b97fd1542908cd36929b5c0efdf",1,1,8000,1,1,,2,,
"H2850502","29559b97fd1542908cd36929b5c0efdf",3,1,5000,1,1,,2,,
"H2850502","29559b97fd1542908cd36929b5c0efdf",13,1,5000,1,1,,2,,
"H0370601","295fa0511fcc44728e35080273e881bd",3,2,6000,2,1,,2,,
"H0370601","295fa0511fcc44728e35080273e881bd",19,1,35000,1,2,1,,,
"H0370601","295fa0511fcc44728e35080273e881bd",4,3,7500,3,1,,1,1,0
"H0370601","295fa0511fcc44728e35080273e881bd",12,1,4000,1,1,,2,,
"H0370601","295fa0511fcc44728e35080273e881bd",9,1,3000,1,1,,2,,
"H0370601","295fa0511fcc44728e35080273e881bd",1,4,24000,5,1,,2,,
"H4240901","2976322f065f415cb140d32e065c5336",1,4,20000,4,1,,2,,
"H4240901","2976322f065f415cb140d32e065c5336",19,1,75000,1,1,,2,,
"H4240901","2976322f065f415cb140d32e065c5336",12,1,7500,1,1,,2,,
"H4240901","2976322f065f415cb140d32e065c5336",5,1,15000,1,1,,2,,
"H4240901","2976322f065f415cb140d32e065c5336",3,1,5000,1,1,,2,,
"H1740801","298d0a675d804e58bbd49ce037f2312d",1,6,22000,6,1,,2,,
"H1740801","298d0a675d804e58bbd49ce037f2312d",5,2,60000,2,1,,2,,
"H1740801","298d0a675d804e58bbd49ce037f2312d",3,1,5000,1,1,,2,,
"H1740801","298d0a675d804e58bbd49ce037f2312d",12,2,13000,2,1,,2,,
"H1740801","298d0a675d804e58bbd49ce037f2312d",8,1,10000,1,1,,2,,
"H1400802","2996bdef98fc498eb7d1544ab289a949",3,2,10000,2,1,,2,,
"H1400802","2996bdef98fc498eb7d1544ab289a949",12,1,7500,1,1,,2,,
"H1400802","2996bdef98fc498eb7d1544ab289a949",1,4,28000,3,1,,2,,
"H1400802","2996bdef98fc498eb7d1544ab289a949",14,0,,0,1,,1,2,50000
"H1400802","2996bdef98fc498eb7d1544ab289a949",4,1,5000,1,1,,2,,
"H0830803","29ca29e8dc634ddb98594b73b156ce57",19,0,,0,1,,1,2,0
"H0830803","29ca29e8dc634ddb98594b73b156ce57",3,1,8000,1,1,,2,,
"H0830803","29ca29e8dc634ddb98594b73b156ce57",1,2,10000,2,1,,2,,
"H0830803","29ca29e8dc634ddb98594b73b156ce57",13,1,10000,1,1,,2,,
"H0730901","29e7916bdd2645b48211aeb4920fbd67",1,3,20000,3,1,,1,1,10000
"H0730901","29e7916bdd2645b48211aeb4920fbd67",3,1,5000,1,1,,2,,
"H2620801","29f77616aa4f47ffb44bac82fbacef59",1,1,6000,1,1,,2,,
"H2620801","29f77616aa4f47ffb44bac82fbacef59",3,1,4000,1,1,,2,,
"H0481001","2a265ea8d5a641f8ac41198dbcce2d94",1,1,3000,1,1,,1,1,0
"H1810402","2a3fdc60eacb43afa748089b59e75d72",14,0,,0,1,,1,1,0
"H1810402","2a3fdc60eacb43afa748089b59e75d72",1,2,14000,2,1,,2,,
"H1810402","2a3fdc60eacb43afa748089b59e75d72",3,1,5000,1,1,,2,,
"H1810402","2a3fdc60eacb43afa748089b59e75d72",22,1,10000,1,1,,2,,
"H4100601","2a4e78a423c44854b320caf10951c60b",1,5,40000,5,1,,2,,
"H4100601","2a4e78a423c44854b320caf10951c60b",3,2,16000,2,1,,2,,
"H4100601","2a4e78a423c44854b320caf10951c60b",12,2,20000,2,1,,2,,
"H2161001","2a544415eb344585b7a6541e6901bfa9",22,1,10000,1,1,,2,,
"H2161001","2a544415eb344585b7a6541e6901bfa9",3,1,8000,1,1,,2,,
"H2161001","2a544415eb344585b7a6541e6901bfa9",1,5,50000,6,1,,2,,
"H2161001","2a544415eb344585b7a6541e6901bfa9",14,0,,1,1,,2,,
"H2561001","2a6a9fb7838e45c0ab276efc1347cdd2",1,2,10000,2,1,,2,,
"H2561001","2a6a9fb7838e45c0ab276efc1347cdd2",8,1,2000,1,1,,2,,
"H2561001","2a6a9fb7838e45c0ab276efc1347cdd2",3,1,3000,1,1,,2,,
"H4280601","2a7187b42b264744b3a9d30396eb7ae9",1,2,20000,2,1,,2,,
"H4280601","2a7187b42b264744b3a9d30396eb7ae9",12,1,8000,1,1,,2,,
"H4280601","2a7187b42b264744b3a9d30396eb7ae9",19,2,160000,2,1,,2,,
"H4280601","2a7187b42b264744b3a9d30396eb7ae9",3,2,14000,2,1,,2,,
"H3660201","2a85264bf5b74593930eae2103209224",5,0,,0,1,,1,3,0
"H3660201","2a85264bf5b74593930eae2103209224",12,0,,1,1,,1,1,0
"H3660201","2a85264bf5b74593930eae2103209224",1,2,20000,1,1,,2,,
"H3820301","2a8818bbc9ca4387b66331f72ca7e262",4,1,10000,1,1,,2,,
"H3820301","2a8818bbc9ca4387b66331f72ca7e262",1,4,32000,4,1,,2,,
"H3820301","2a8818bbc9ca4387b66331f72ca7e262",3,1,5000,1,1,,2,,
"H3820301","2a8818bbc9ca4387b66331f72ca7e262",12,1,15000,1,1,,2,,
"H4070301","2ab832b9019a4d45b3b1c5a93eb436d5",1,2,8000,2,1,,2,,
"H4070301","2ab832b9019a4d45b3b1c5a93eb436d5",8,1,3500,1,1,,2,,
"H4070301","2ab832b9019a4d45b3b1c5a93eb436d5",3,1,4000,1,1,,2,,
"H4300801","2abb452a63654ddeadd351815d76cbc6",1,4,32000,4,1,,2,,
"H4300801","2abb452a63654ddeadd351815d76cbc6",19,1,60000,1,1,,2,,
"H4300801","2abb452a63654ddeadd351815d76cbc6",12,1,5000,1,1,,2,,
"H4300801","2abb452a63654ddeadd351815d76cbc6",3,3,15000,3,1,,2,,
"H0730701","2ac0a1e73f624dfc91343ac47f68c9f4",3,1,5000,1,1,,2,,
"H0730701","2ac0a1e73f624dfc91343ac47f68c9f4",1,1,10000,1,1,,2,,
"H3941001","2ada189776a548d89a6c2f2bff16b5c2",1,2,24000,2,1,,2,,
"H1590902","2aee74b721804ccca2432403b51cd36d",4,3,9000,3,1,,2,,
"H1590902","2aee74b721804ccca2432403b51cd36d",1,3,12000,3,1,,2,,
"H1590902","2aee74b721804ccca2432403b51cd36d",12,1,6000,1,1,,2,,
"H1590902","2aee74b721804ccca2432403b51cd36d",5,1,15000,1,1,,2,,
"H1590902","2aee74b721804ccca2432403b51cd36d",3,1,5000,1,1,,2,,
"H1590902","2aee74b721804ccca2432403b51cd36d",14,1,200000,1,1,,2,,
"H1070604","2b158ee9160b4b6380262b810b96eaf0",1,3,12000,3,1,,2,,
"H1070604","2b158ee9160b4b6380262b810b96eaf0",3,2,3000,2,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",12,1,15000,1,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",3,2,10000,2,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",4,2,6000,2,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",14,3,600000,3,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",5,1,80000,1,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",22,2,16000,2,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",13,1,5000,2,1,,2,,
"H2200401","2b330288fe5e430d97c750ee7d86941d",1,5,25000,8,1,,2,,
"H4300201","2b5700c4ed5e4ec8997a4236831cf10e",3,1,4000,1,1,,2,,
