"t0_hhid","ALiveStock_Small_ID","hhid","s6bq03a","s6bq03b","s6bq03c","s6bq03d","s6bq03e","s6bq03f","s6bq04a","s6bq04b","s6bq04c","s6bq05a","s6b05b","s6bq05c","s6bq06","s6bq07","s6bq08","s6bq09","s6bq10","s6bq11","s6bq12","s6bq13a","s6bq13b","s6bq14a","s6bq14b","s6bq15","s6bq15b","s6bq15c","s6bq16"
"H2821101",19,"359e3e456e484fba8d0e3d3d65b441c9",2,1,,1,3,2,0,,,0,,,3,1,0,0,0,0,0,0,,2,80000,0,1,6,1
"H3040201",21,"35f1e64ed30a45d9b7dca8bf3521112c",2,2,,2,,2,0,,,0,,,0,1,1,0,0,0,0,0,,0,,0,1,,1
"H3040201",20,"35f1e64ed30a45d9b7dca8bf3521112c",3,1,,4,,2,0,,,0,,,0,1,0,0,0,0,0,2,70000,0,,0,1,,1
"H3040201",19,"35f1e64ed30a45d9b7dca8bf3521112c",2,4,,2,,2,0,,,0,,,5,0,0,0,0,0,0,0,,3,120000,0,1,,1
"H3040201",22,"35f1e64ed30a45d9b7dca8bf3521112c",2,2,,2,,2,0,,,0,,,0,0,2,0,0,0,0,0,,0,,0,1,,1
"H3040201",18,"35f1e64ed30a45d9b7dca8bf3521112c",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1440301",20,"360de05557044ac08a7f3cd5639f5eac",1,1,2,1,2,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,6,1
"H1440301",22,"360de05557044ac08a7f3cd5639f5eac",2,1,2,1,2,2,0,,,0,,,2,12,0,1,0,0,0,0,,11,30000,0,1,6,2
"H1440301",21,"360de05557044ac08a7f3cd5639f5eac",3,1,2,1,2,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,6,1
"H1440301",19,"360de05557044ac08a7f3cd5639f5eac",4,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,6,1
"H1970701",19,"369270bfeb2444a0bce85ac5516b6cd5",2,1,2,1,,2,0,,,0,,,3,0,0,0,0,0,1,0,,0,,0,1,5,1
"H3950501",18,"37303592e32e42d4b94aba1eaa18ce87",3,1,,1,,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,4,1
"H3950501",19,"37303592e32e42d4b94aba1eaa18ce87",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,4,1,1
"H3950501",20,"37303592e32e42d4b94aba1eaa18ce87",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,4,1
"H3950501",21,"37303592e32e42d4b94aba1eaa18ce87",2,1,2,1,2,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,4,1
"H4300901",18,"374bb0ca1784414a855cbda492271c85",2,1,2,1,2,2,0,,,0,,,2,1,0,0,0,0,0,0,,1,140000,0,1,6,1
"H4300901",19,"374bb0ca1784414a855cbda492271c85",12,1,2,1,2,2,0,,,0,,,8,7,0,0,0,0,0,0,,3,120000,0,1,6,1
"H1670801",18,"379e5ea7895b46a793034dee501de137",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"H1670801",19,"379e5ea7895b46a793034dee501de137",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,3,1
"H2350901",19,"37a91163feb84e6fa96a9cb6fb90fce8",4,3,9,3,8,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,1,5,1
"##N/A##",19,"37cc1f4211c74fe8864dc44b67591f92",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,5,1
"H0500602",19,"37dc2bcafd9b45e685a377e807eb4cf9",2,1,4,1,4,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,5,2
"H4101001",19,"382197af75104c469114b15db7361d0f",1,2,,2,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H4101001",18,"382197af75104c469114b15db7361d0f",1,2,,2,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H2230801",19,"382f2314c76c44f98155b7bea0e39654",1,2,4,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"H2230801",18,"382f2314c76c44f98155b7bea0e39654",1,2,4,2,5,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,5,1
"H0870701",13,"382fa15a185c4992a7a2d7fdb70f0db5",3,1,,1,,2,0,,,0,,,3,2,0,0,0,0,0,0,,2,140000,0,1,3,2
"H0870701",14,"382fa15a185c4992a7a2d7fdb70f0db5",15,1,,1,,2,0,,,0,,,13,6,0,0,0,0,0,0,,3,160000,1,1,3,2
"H0870701",21,"382fa15a185c4992a7a2d7fdb70f0db5",13,1,,1,,2,0,,,0,,,6,7,0,0,0,0,0,0,,0,,0,1,,2
"H0870701",20,"382fa15a185c4992a7a2d7fdb70f0db5",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H2280301",19,"3836197d0aa144d9aea4bbccc28232a2",1,1,,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,60000,0,,0,1,4,1
"H2620701",22,"38c783c5b9aa415ab3023259ddb1198a",2,2,,2,,2,0,,,0,,,0,0,0,0,0,0,0,2,50000,0,,0,1,,1
"H1810401",18,"38cac2f27d8b4feeb489c8ef7548babe",2,2,,1,2,2,0,,,0,,,3,0,0,1,0,0,0,0,,0,,0,1,4,1
"H1810401",19,"38cac2f27d8b4feeb489c8ef7548babe",2,2,,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,4,1
"H0740301",19,"38cad17a27a24d5eac5472d9e1af1df4",6,1,7,1,7,2,0,,,0,,,8,0,0,0,0,0,0,0,,2,40000,0,1,6,1
"H0740301",21,"38cad17a27a24d5eac5472d9e1af1df4",4,1,2,1,2,2,0,,,0,,,3,1,0,0,0,0,0,0,,0,,0,1,6,1
"H0740301",20,"38cad17a27a24d5eac5472d9e1af1df4",1,1,2,1,2,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,6,1
"H0740301",18,"38cad17a27a24d5eac5472d9e1af1df4",1,1,7,1,7,2,0,,,0,,,2,0,0,0,0,0,1,0,,0,,0,1,6,1
"H1921001",19,"38caf316e0404a58b426eaff6b269196",2,5,,1,5,2,0,,,0,,,0,0,0,0,0,0,0,2,70000,0,,0,1,5,1
"H3210601",22,"38d08be913a94b9ea0e69a5cf5145064",1,1,,1,,2,0,,,0,,,1,18,0,0,0,2,0,0,,16,40000,0,1,,1
"H3210601",19,"38d08be913a94b9ea0e69a5cf5145064",5,1,,1,,2,0,,,0,,,6,0,0,0,0,1,0,0,,0,,0,1,3,1
"H3210601",18,"38d08be913a94b9ea0e69a5cf5145064",1,1,,1,,2,0,,,25000,3,0,2,0,0,0,0,0,1,0,,0,,0,1,3,1
"H1550501",19,"391c2a4173344a90b21eda1858c4fd84",1,2,,2,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H1410401",18,"3945193f68854c9f9a93210349e2967d",3,1,7,1,7,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,6,5,1
"H1410401",19,"3945193f68854c9f9a93210349e2967d",6,1,7,1,7,2,0,,,0,,,5,1,0,0,0,0,0,0,,0,,0,5,6,1
"H3440101",21,"3998acf0b37541a696331ea9c0a49b44",3,7,,4,9,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,5,1
"H2280201",21,"39ec9b23a35f43228f8de99fd28eb281",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,74000,0,,0,4,,1
"H2280201",22,"39ec9b23a35f43228f8de99fd28eb281",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,50000,0,,0,1,,2
"H2280201",19,"39ec9b23a35f43228f8de99fd28eb281",1,1,2,1,2,2,0,,,0,,,3,0,0,1,0,0,0,0,,1,45000,0,1,4,1
"H1090904",19,"39fffc7e84ed4f3199acc6c112eb51a1",1,8,,8,,2,0,,,0,,,3,0,0,0,0,0,0,0,,2,60000,0,1,5,1
"H2660701",19,"3a1ce0010d774561bbc4052314eb7168",8,1,2,1,2,2,0,,,0,,,6,2,0,0,0,0,0,0,,0,,0,1,3,2
"H1701001",19,"3a5ff7fbc4804c359b81467f3ce2949f",4,3,4,3,4,2,0,,,0,,,3,2,0,0,0,0,0,0,,1,35000,0,1,,1
"H1701001",20,"3a5ff7fbc4804c359b81467f3ce2949f",2,3,4,3,,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"6",19,"3aa5e5cbfb294633b2b4c167e0c4dfa1",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"H3380101",19,"3af922a9250b403a98d7efce390bb840",1,1,,1,2,2,3,1,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"H3380101",18,"3af922a9250b403a98d7efce390bb840",0,,,,,,3,1,2,0,,,0,0,0,0,0,0,0,0,,0,,0,1,,2
"H3380101",22,"3af922a9250b403a98d7efce390bb840",2,1,,1,,2,0,,,0,,,0,0,2,0,0,0,0,0,,0,,0,1,,2
"H1430601",19,"3b469b3a994f4617aaf0ec64d1483140",2,1,2,1,2,2,0,,,0,,,3,0,0,0,0,1,0,0,,0,,0,1,6,1
"H0840901",22,"3b657795912345dc92979b423193b066",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,30000,0,,0,1,,1
"H3100701",19,"3b771e3b521147a78aabfe4f41a1ce88",3,1,2,2,,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,,2
"H3100701",18,"3b771e3b521147a78aabfe4f41a1ce88",1,1,,1,,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,2
"H2160101",19,"3b8bcb63695846fb8f842e485a129d7a",6,1,,1,,2,0,,,0,,,3,3,0,0,0,0,0,0,,0,,0,6,5,1
"H1620802",21,"3baf50e92b894c2ea14fc2c34b4a020a",1,1,4,1,4,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,5,1
"H1620802",19,"3baf50e92b894c2ea14fc2c34b4a020a",4,1,4,1,4,2,0,,,0,,,3,1,0,0,0,0,0,0,,0,,0,6,5,1
"H1620802",18,"3baf50e92b894c2ea14fc2c34b4a020a",1,1,4,1,4,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,5,1
"H1490602",19,"3bb537a34ec14d16bb9f3c8b5d66dd83",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,60000,0,,0,1,,2
"H1490602",18,"3bb537a34ec14d16bb9f3c8b5d66dd83",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,60000,0,,0,1,,2
"H1490602",22,"3bb537a34ec14d16bb9f3c8b5d66dd83",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H2940801",22,"3bdd09d144684fb28754b1454f41fc8c",3,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,3,90000,0,,0,1,,1
"H2460101",18,"3bf7e6062a9b41c5be8a57d035d4407d",4,1,3,1,3,2,0,,,0,,,6,0,0,0,0,0,0,0,,2,40000,0,1,6,1
"H2460101",21,"3bf7e6062a9b41c5be8a57d035d4407d",4,1,3,1,3,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,6,4,1
"H2460101",20,"3bf7e6062a9b41c5be8a57d035d4407d",3,1,3,1,3,1,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,4,6,1
"H2460101",19,"3bf7e6062a9b41c5be8a57d035d4407d",5,1,3,1,3,1,0,,,0,,,7,0,0,0,0,0,0,0,,2,40000,0,1,6,1
"H0600801",22,"3c09909a20c54f7e92e202daf8b4831f",2,1,2,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,1,350000,0,1,5,2
"23",18,"3ca1f6cfbb3c4909a72db3ba432a374b",1,2,,1,2,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,1,1
"23",20,"3ca1f6cfbb3c4909a72db3ba432a374b",2,2,,1,2,1,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,6,1
"23",19,"3ca1f6cfbb3c4909a72db3ba432a374b",8,2,,1,2,1,0,,,0,,,5,3,0,0,0,0,0,0,,0,,0,6,1,1
"23",21,"3ca1f6cfbb3c4909a72db3ba432a374b",5,2,,1,2,1,0,,,0,,,4,1,0,0,0,0,0,0,,0,,0,1,6,1
"H3850701",18,"3cb01afeecc743ea8ccf3e8a7ee4afb3",1,1,,3,,1,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,5,1,1
"H3850701",19,"3cb01afeecc743ea8ccf3e8a7ee4afb3",2,1,,3,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,5,1
"H2870902",22,"3cc22fa8718a49e486d06fed5e0fd16b",2,1,5,1,5,2,0,,,0,,,0,0,0,0,0,0,0,2,50000,0,,0,5,,1
"H1400403",22,"3d2bf2ca3517452498a4f93b3fa712f1",3,2,3,2,3,2,0,,,0,,,1,4,0,0,0,0,0,0,,2,25000,0,1,5,1
"H1400403",19,"3d2bf2ca3517452498a4f93b3fa712f1",3,2,,2,4,2,0,,,0,,,3,0,0,2,0,0,0,2,36000,0,,0,1,5,1
"H4250401",18,"3d5c19ea73524c6f9a932a062e0b2b3a",1,1,10,3,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H4250401",19,"3d5c19ea73524c6f9a932a062e0b2b3a",3,1,10,3,10,2,0,,,0,,,3,3,0,0,0,0,0,0,,2,130000,1,1,6,1
"H0870601",21,"3d5fa3f997814abb94a865153a075f97",1,2,3,2,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,3,1
"H0870601",19,"3d5fa3f997814abb94a865153a075f97",5,2,3,2,3,2,0,,,0,,,8,0,0,0,3,0,0,0,,0,,0,1,3,1
"H0870601",18,"3d5fa3f997814abb94a865153a075f97",4,2,3,2,3,2,0,,,0,,,7,0,0,0,0,0,0,0,,0,,3,3,1,1
"H1310703",22,"3d633012f62f4a1693b032bb87573c1e",2,1,,1,,2,0,,,0,,,1,12,0,0,0,0,10,0,,1,50000,0,1,,1
"H4030901",19,"3dc7ce254b7f40b3b8ad153adf1d07a5",2,1,,1,2,2,0,,,0,,,0,2,0,0,0,0,0,0,,0,,0,1,2,1
"H4030901",18,"3dc7ce254b7f40b3b8ad153adf1d07a5",4,1,,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,3,1
"H3500101",18,"3dd29de6cc6743fcaf101aeeef9dc8da",1,2,,2,,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"H3500101",19,"3dd29de6cc6743fcaf101aeeef9dc8da",3,2,,2,,2,0,,,0,,,3,5,0,0,0,0,5,0,,0,,0,1,,1
"H3500101",22,"3dd29de6cc6743fcaf101aeeef9dc8da",6,2,,2,,2,0,,,0,,,1,7,0,1,0,0,1,0,,0,,0,1,,1
"H3590501",19,"3e27af60ec544b95b905a8859d6d0382",1,2,,2,,2,0,,,0,,,5,0,0,0,0,0,0,0,,4,100000,0,5,1,2
"H1180501",19,"3e3d3430f77540709618ff463bc590bd",1,2,,2,,2,0,,,0,,,1,0,0,0,0,0,0,1,80000,1,90000,0,6,1,1
"H4180601",22,"3e4c1cb508fe44b4b5898195d7bc941f",1,2,9,2,9,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H1830301",18,"3f03088b9f2d4a4bb17f4c2b08eb006b",0,,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,1,63000,0,1,5,1
"H1830301",19,"3f03088b9f2d4a4bb17f4c2b08eb006b",1,1,2,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,2,105000,0,1,,1
"H3210501",18,"3f883779aa6e46ea96315b4730bdeb1c",0,,,,,,0,,,0,,,0,1,0,0,0,0,0,0,,1,70000,0,1,,1
"H3210501",19,"3f883779aa6e46ea96315b4730bdeb1c",1,1,3,1,3,2,0,,,0,,,2,1,0,0,0,0,1,1,100000,2,90000,0,1,,1
"H1530501",19,"3f90136eef684fcaa9ba2f718da491a1",2,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,2,100000,0,,0,1,5,1
"H2031002",19,"3fbb9915c5764445beae0fa75a509187",2,1,3,1,3,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,,1
"H0420401",21,"3fbba4bc945f48e5b07ccf0a706d2194",1,1,10,1,,2,0,,,0,,,1,1,0,0,0,0,0,0,,1,100000,0,1,,1
"H0420401",20,"3fbba4bc945f48e5b07ccf0a706d2194",0,,,,,,0,,,0,,,2,0,0,0,0,1,0,0,,1,130000,0,1,,1
"H3510301",19,"3ff65bff324d43daaba32def1e823094",3,,,,,1,0,,,0,,,0,0,2,0,0,0,0,1,75000,0,,0,1,,1
"H1650501",21,"401b7c77260b4e568263be05b47bfc5d",3,6,10,6,10,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,5,6,1
"H1650501",20,"401b7c77260b4e568263be05b47bfc5d",2,6,10,6,10,1,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,,1
"H2641101",19,"403c3e615b9044009f147033aa97dc0f",4,1,,1,,2,0,,,0,,,8,2,0,0,0,0,2,0,,3,96500,1,1,3,1
"H3650301",18,"40466451b19e45e3b302cd2e9f46fc10",1,1,2,1,2,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,6,1
"H3650301",19,"40466451b19e45e3b302cd2e9f46fc10",2,1,2,1,2,2,0,,,0,,,2,1,0,0,0,0,0,0,,1,60000,0,1,6,1
"H2030301",19,"404b2c86291e436c8145265500cb41af",6,1,,1,,2,0,,,0,,,6,0,0,0,0,0,0,0,,0,,0,6,,1
"H1940101",19,"4074d14cddb64a649e69a08c760028a9",2,1,,,,1,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"H1940101",18,"4074d14cddb64a649e69a08c760028a9",1,1,,,,1,0,,,0,,,2,0,0,0,0,0,0,0,,1,80000,0,1,,1
"H2850602",19,"408b979bb12a41bb8fdb8c6e481cd23e",3,1,3,1,3,2,0,,,0,,,4,0,0,0,0,0,0,0,,1,80000,0,1,3,1
"H2850602",22,"408b979bb12a41bb8fdb8c6e481cd23e",3,3,,3,,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,,2
"H2850602",21,"408b979bb12a41bb8fdb8c6e481cd23e",2,1,3,1,3,2,0,,,0,,,3,0,0,0,0,0,0,0,,1,50000,0,1,3,1
"H2500301",19,"40962e7d98c44c6aa00b36690238acb2",5,1,,1,,2,0,,,0,,,5,1,0,0,0,1,0,0,,0,,0,1,5,1
"H2500301",18,"40962e7d98c44c6aa00b36690238acb2",6,1,,1,,2,0,,,0,,,3,3,0,0,0,0,0,0,,0,,0,1,5,1
"H1700901",22,"409ea672a1d84860be324caaa49bfa01",2,1,3,1,3,2,0,,,0,,,3,0,0,0,0,0,0,1,50000,2,165000,0,1,5,2
"H3901001",22,"40a81ad95c0146408ed50a768977f610",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H3901001",19,"40a81ad95c0146408ed50a768977f610",1,1,,1,,2,2,1,,0,,,1,0,0,0,0,0,0,0,,0,,0,5,,1
"H0010201",22,"40d651d26aa4403ca40fd52713d38ab2",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,1,40000,1,220000,0,1,5,2
"H3620701",19,"40d7b4caf61141c283c28cfc781b6434",2,1,,1,5,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,6,1
"H3390301",18,"41104a79c99f49ac83df63ff521ab038",1,2,,3,5,2,0,,,0,,,2,1,0,0,0,0,0,0,,2,60000,0,1,,1
"H3390301",19,"41104a79c99f49ac83df63ff521ab038",3,2,,3,5,2,0,,,0,,,6,0,0,1,0,1,0,0,,1,80000,0,1,,1
"H2810501",22,"415955acb18846569b50042e9abfb8d4",3,1,2,1,2,2,0,,,0,,,6,0,0,0,0,0,0,0,,3,200000,0,1,5,1
"H1920301",21,"41bb9a751f6e457daba39b06f6ad373a",2,6,,6,,2,0,,,0,,,2,1,0,0,0,0,1,0,,0,,0,1,,1
"H1920301",19,"41bb9a751f6e457daba39b06f6ad373a",3,6,,6,,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,,1
"H1920301",20,"41bb9a751f6e457daba39b06f6ad373a",1,6,,6,,2,0,,,0,,,2,1,0,0,0,0,1,0,,1,60000,0,1,,1
"H2961101",18,"425acd0ee25546709a5686553b3b56cd",2,1,,1,,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"H2961101",19,"425acd0ee25546709a5686553b3b56cd",3,1,,1,,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,3,1
"H3950101",21,"42a9b9883194492d88ec0be4272999dc",0,,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,0,,1,1,,1
"H3950101",19,"42a9b9883194492d88ec0be4272999dc",2,1,2,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"H3950101",18,"42a9b9883194492d88ec0be4272999dc",0,,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,0,,1,1,,1
"H2740901",19,"42ba387b8cfe40ba9ea70061853db882",1,1,2,1,2,2,0,,,0,,,4,0,0,0,3,0,0,0,,0,,0,1,,1
"H0360501",22,"43001ca4b9d9497b8e5fde162eaae64b",3,2,3,2,3,2,0,,,0,,,1,0,0,0,0,0,0,2,40000,0,,0,1,5,1
"H0360501",21,"43001ca4b9d9497b8e5fde162eaae64b",,,,,,,,,,,,,,,,,,,,,,,,,,,
"24",18,"436745efc56f4db89ab6aa60196163d1",2,1,2,1,3,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"24",19,"436745efc56f4db89ab6aa60196163d1",1,1,2,1,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"H2310801",18,"43740425c7ed4521948da92a624d6457",1,1,2,1,2,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,4,1
"H2310801",19,"43740425c7ed4521948da92a624d6457",3,1,2,1,2,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,4,1
"H3620301",13,"437cdf4cefbd47208506638b5430432d",1,1,,1,14,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H3620301",19,"437cdf4cefbd47208506638b5430432d",2,1,,1,14,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,6,1
"H3620301",14,"437cdf4cefbd47208506638b5430432d",1,1,,1,14,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H2850201",19,"439ea3100826494ea35cf8f7adfb5e51",2,1,,1,,2,0,,,0,,,1,2,0,0,0,0,1,0,,0,,0,1,,1
"H2850201",21,"439ea3100826494ea35cf8f7adfb5e51",2,1,,1,,2,0,,,0,,,3,0,0,0,1,0,0,0,,0,,0,1,,1
"18",19,"43bf4533dc2b43d8838108888e1cc24e",5,1,2,10,,1,0,,,0,,,4,1,0,0,0,0,0,0,,0,,0,1,,2
"18",20,"43bf4533dc2b43d8838108888e1cc24e",1,1,2,10,,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"H2900501",19,"442347a5ace74b9c9a775c66d41ba181",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H1821001",19,"452b8abf16324dc0a9f0bd2374eccbae",3,1,2,2,,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,9,1,1
"H1821001",18,"452b8abf16324dc0a9f0bd2374eccbae",1,1,,2,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,1,3,1,1
"H1821001",20,"452b8abf16324dc0a9f0bd2374eccbae",3,1,,2,,1,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,5,1
"H1821001",22,"452b8abf16324dc0a9f0bd2374eccbae",1,2,,2,,2,0,,,0,,,2,0,0,0,0,0,0,0,,1,150000,0,1,,1
"H1821001",21,"452b8abf16324dc0a9f0bd2374eccbae",1,1,2,2,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,9,,1
"H3900801",19,"456c4b5334b2497195b10c1285eb9ff6",1,1,,1,2,2,0,,,0,,,4,2,0,0,0,3,2,0,,0,,0,1,5,1
"H3900801",22,"456c4b5334b2497195b10c1285eb9ff6",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"H0880501",22,"4598bcd95ee3428b98fdbb4bf4bf0831",6,3,,1,3,2,0,,,0,,,1,5,0,0,0,0,0,0,,0,,0,1,,2
"H3910501",19,"45b626e85ac24e50939037995cb50c55",1,1,,1,5,2,0,,,0,,,1,0,0,1,0,0,0,1,80000,0,,0,4,1,1
"H1970901",21,"4671909a9d8f4687a430a852704fb0c3",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,,1
"H1920501",19,"46ab1f5be0f440e487a0392b39355056",8,4,,2,8,2,6,1,8,0,,,6,2,0,0,0,0,0,0,,0,,0,1,5,1
"H1920501",18,"46ab1f5be0f440e487a0392b39355056",4,4,,1,8,2,0,,,0,,,4,2,0,0,0,0,0,0,,2,60000,0,1,5,1
"H0501001",18,"46b08237f3294fbf81555bb0ac51ecf8",2,7,,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,2,100000,0,1,5,1
"H0501001",19,"46b08237f3294fbf81555bb0ac51ecf8",3,7,,7,,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,5,1
"H0501001",22,"46b08237f3294fbf81555bb0ac51ecf8",2,7,,1,7,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,5,1
"H3670601",13,"46b30d5d8b6649f591f3e3be8f50f1d3",1,1,,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"H0630301",19,"46c178409da54f979ef66829c18f853a",3,3,,1,3,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,,1
"H0630301",18,"46c178409da54f979ef66829c18f853a",1,3,,1,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H1481001",19,"4705b49e9d2943b4a56d90016672e079",1,2,,2,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,3,,1
"H2171002",19,"476c397ab85342c09f4541d690f4c150",1,1,2,1,2,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,5,1
"H2110801",19,"477360319e3b4caaac9c57d73c0a901b",4,2,4,2,4,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,4,1
"H2110801",18,"477360319e3b4caaac9c57d73c0a901b",1,2,,2,4,2,0,,,0,,,2,0,0,0,0,0,0,0,,1,75000,0,1,4,1
"H4270201",21,"479c32b9044c44bfb3fbaab3de5b1950",2,1,2,1,2,2,0,,,0,,,6,4,0,0,0,7,0,0,,1,130000,0,1,6,1
"H4270201",22,"479c32b9044c44bfb3fbaab3de5b1950",2,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,2,100000,0,,0,1,6,1
"H4200401",18,"47b0ebb1f9cd4d988a684982758920f8",7,2,,2,,2,0,,,0,,,3,4,0,0,0,0,0,0,,0,,0,1,2,1
"H4200401",19,"47b0ebb1f9cd4d988a684982758920f8",4,2,,2,,1,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,3,1
