hhid,h10q1,h10q2,h10q3,h10q4,h10q5a,h10q5b,h10q6,h10q7a,h10q7b,h10q7c,h10q7d,h10q9,h10q10,h10q11,h10q12,hh
H1280901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H12809-05-01
H1280902,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H12809-05-02
H1280903,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H12809-05-03
H1281001,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H12810-05-01
H1281101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H12811-05-01
H1281201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H12812-05-01
H1290101,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H12901-05-01
H1290201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H12902-05-01
H1290301,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H12903-05-01
H1290401,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H12904-05-01
H1290501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H12905-05-01
H1290502,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H12905-05-02
H1290503,No,,,,,,No,,,,,Open fire,Yes,5.0,In an outdoor space,H12905-05-03
H1290601,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H12906-05-01
H1290701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H12907-05-01
H1290801,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H12908-05-01
H1290901,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H12909-05-01
H1291001,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H12910-05-01
H1291002,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H12910-05-02
H1300201,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H13002-05-01
H1300301,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H13003-05-01
H1300401,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H13004-05-01
H1300402,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H13004-05-02
H1300501,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H13005-05-01
H1300601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13006-05-01
H1300602,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13006-05-02
H1300603,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13006-05-03
H1300604,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13006-05-04
H1300605,Yes,24.0,Other (specify),,30000.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H13006-05-05
H1300606,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H13006-05-06
H1300701,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13007-05-01
H1300801,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H13008-05-01
H1300901,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H13009-05-01
H1300902,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H13009-05-02
H1301001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13010-05-01
H1301002,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13010-05-02
H1310201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13102-05-01
H1310202,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H13102-05-02
H1310301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13103-05-01
H1310401,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13104-05-01
H1310402,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13104-05-02
H1310501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13105-05-01
H1310502,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13105-05-02
H1310503,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13105-05-03
H1310504,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13105-05-04
H1310601,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H13106-05-01
H1310701,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13107-05-01
H1310702,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H13107-05-02
H1310703,No,,,,,,No,,,,,,,,,H13107-05-03
H1310704,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13107-05-04
H1310801,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H13108-05-01
H1310802,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13108-05-02
H1310901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13109-05-01
H1320201,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H13202-05-01
H1320301,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H13203-05-01
H1320401,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13204-05-01
H1320501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13205-05-01
H1320502,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13205-05-02
H1320503,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13205-05-03
H1320601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13206-05-01
H1320701,No,,,,,,No,,,,,Charcoal,No,3.0,In an outdoor space,H13207-05-01
H1320801,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13208-05-01
H1320802,No,,,,,,No,,,,,Charcoal,No,5.0,In an outdoor space,H13208-05-02
H1321001,Yes,12.0,Provide in rent,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13210-05-01
H1330601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13306-05-01
H1330701,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H13307-05-01
H1330702,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13307-05-02
H1330901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13309-05-01
H1331001,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H13310-05-01
H1331002,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13310-05-02
H1331003,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H13310-05-03
H1331004,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13310-05-04
H1331005,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13310-05-05
H1331006,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H13310-05-06
H1331007,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H13310-05-07
H1331008,No,,,,,,No,,,,,Kerosene,No,5.0,In a separate kitchen,H13310-05-08
H1331101,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H13311-05-01
H1400101,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H14001-05-01
H1400201,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H14002-05-01
H1400202,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H14002-05-02
H1400301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14003-05-01
H1400302,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14003-05-02
H1400303,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H14003-05-03
H1400304,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14003-05-04
H1400401,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14004-05-01
H1400402,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14004-05-02
H1400403,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H14004-05-03
H1400404,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H14004-05-04
H1400501,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H14005-05-01
H1400601,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H14006-05-01
H1400602,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14006-05-02
H1400701,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H14007-05-01
H1400702,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H14007-05-02
H1400703,Yes,24.0,Free use/illegal connections,,,,No,,,,,Electric,,8.0, In a room in the dwelling not just devoted to cooking,H14007-05-03
H1400704,Yes,24.0,Free use/illegal connections,,,,No,,,,,Electric,,24.0, In a room in the dwelling not just devoted to cooking,H14007-05-04
H1400705,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H14007-05-05
H1400801,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14008-05-01
H1400802,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14008-05-02
H1400901,No,,,,,,No,,,,,Open fire,Yes,2.0,In an outdoor space,H14009-05-01
H1401001,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H14010-05-01
H1410101,Yes,10.0,Bill from power company,60.0,30000.0,30.0,No,,,,,Charcoal,No,7.0,In a separate kitchen,H14101-05-01
H1410201,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H14102-05-01
H1410401,No,,,,,,No,,,,,Charcoal,No,3.0,In a separate kitchen,H14104-05-01
H1410402,Yes,24.0,Bill from power company,1.0,30000.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H14104-05-02
H1410601,No,,,,,,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H14106-05-01
H1410902,Yes,24.0,Pay fee to neighbor,,3500.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H14109-05-02
H1410903,Yes,24.0,Bill from power company,25.0,12000.0,30.0,No,,,,,Charcoal,Yes,6.0,In a separate kitchen,H14109-05-03
H1411101,No,,,,,,No,,,,,Charcoal,No,6.0,In a separate kitchen,H14111-05-01
H1420101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14201-05-01
H1420201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14202-05-01
H1420301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14203-05-01
H1420601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14206-05-01
H1420701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14207-05-01
H1420702,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14207-05-02
H1420801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14208-05-01
H1420901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14209-05-01
H1421001,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H14210-05-01
H1430101,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14301-05-01
H1430102,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14301-05-02
H1430201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14302-05-01
H1430202,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14302-05-02
H1430203,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14302-05-03
H1430204,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14302-05-04
H1430301,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H14303-05-01
H1430401,No,,,,,,No,,,,,Charcoal,No,1.0, In a room in the dwelling not just devoted to cooking,H14304-05-01
H1430402,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14304-05-02
H1430403,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H14304-05-03
H1430404,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14304-05-04
H1430501,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14305-05-01
H1430601,No,,,,,,No,,,,,Open fire,No,12.0,In a separate kitchen,H14306-05-01
H1430701,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14307-05-01
H1430801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14308-05-01
H1430802,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H14308-05-02
H1430901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14309-05-01
H1430902,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H14309-05-02
H1430903,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14309-05-03
H1430904,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H14309-05-04
H1430905,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H14309-05-05
H1430906,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H14309-05-06
H1431001,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14310-05-01
H1440101,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H14401-05-01
H1440201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14402-05-01
H1440202,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H14402-05-02
H1440301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14403-05-01
H1440401,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H14404-05-01
H1440402,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14404-05-02
H1440403,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14404-05-03
H1440404,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14404-05-04
H1440501,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14405-05-01
H1440601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14406-05-01
H1440701,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H14407-05-01
H1440702,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14407-05-02
H1440801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14408-05-01
H1440901,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14409-05-01
H1441001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14410-05-01
H1460101,Yes,24.0,Bill from power company,6.0,4200.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H14601-05-01
H1460601,Yes,9.0,Provide in rent,,,,No,,,,,Charcoal,Yes,6.0,In an outdoor space,H14606-05-01
H1461201,Yes,24.0,Other (specify),,20000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H14612-05-01
H1480101,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H14801-05-01
H1480102,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H14801-05-02
H1480201,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H14802-05-01
H1480301,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H14803-05-01
H1480401,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H14804-05-01
H1480501,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H14805-05-01
H1480602,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14806-05-02
H1480701,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14807-05-01
H1480702,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H14807-05-02
H1480801,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14808-05-01
H1480802,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H14808-05-02
H1480901,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H14809-05-01
H1481001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14810-05-01
H1490201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H14902-05-01
H1490301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14903-05-01
H1490302,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H14903-05-02
H1490303,No,,,,,,No,,,,,,,,,H14903-05-03
H1490401,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14904-05-01
H1490601,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H14906-05-01
H1490602,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H14906-05-02
H1490701,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H14907-05-01
H1490801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H14908-05-01
H1491001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H14910-05-01
H1500201,No,,,,,,No,,,,,Open fire,No,2.0, In a room in the dwelling not just devoted to cooking,H15002-05-01
H1500301,Yes,0.0,Free use/illegal connections,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15003-05-01
H1500401,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H15004-05-01
H1500501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15005-05-01
H1500701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15007-05-01
H1500702,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15007-05-02
H1500703,Yes,12.0,Bill from power company,16.2,10000.0,30.0,No,,,,,Charcoal,No,4.0,In an outdoor space,H15007-05-03
H1500704,Yes,12.0,Bill from power company,30.0,60000.0,30.0,No,,,,,Electric,,4.0, In a room in the dwelling not just devoted to cooking,H15007-05-04
H1500801,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H15008-05-01
H1500802,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15008-05-02
H1500901,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H15009-05-01
H1501001,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15010-05-01
H1510101,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H15101-05-01
H1510201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15102-05-01
H1510202,No,,,,,,No,,,,,Open fire,No,3.0, In a room in the dwelling not just devoted to cooking,H15102-05-02
H1510301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15103-05-01
H1510401,No,,,,,,No,,,,,Open fire,No,3.0, In a room in the dwelling not just devoted to cooking,H15104-05-01
H1510501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15105-05-01
H1510601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15106-05-01
H1510701,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15107-05-01
H1510801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15108-05-01
H1510901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H15109-05-01
H1510902,Yes,7.0,Free use/illegal connections,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15109-05-02
H1510903,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15109-05-03
H1511001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15110-05-01
H1530101,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H15301-05-01
H1530102,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H15301-05-02
H1530201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15302-05-01
H1530401,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15304-05-01
H1530402,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H15304-05-02
H1530501,No,,,,,,No,,,,,Open fire,Yes,6.0,In a separate kitchen,H15305-05-01
H1530601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15306-05-01
H1530801,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15308-05-01
H1530901,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15309-05-01
H1530902,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15309-05-02
H1531001,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H15310-05-01
H1550201,No,,,,,,No,,,,,Efficient Wood Burning,Yes,5.0,In a separate kitchen,H15502-05-01
H1550301,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H15503-05-01
H1550401,No,,,,,,No,,,,,Efficient Wood Burning,Yes,3.0,In a separate kitchen,H15504-05-01
H1550501,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H15505-05-01
H1550502,No,,,,,,No,,,,,Efficient Wood Burning,Yes,2.0,In a separate kitchen,H15505-05-02
H1550601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15506-05-01
H1550801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15508-05-01
H1550902,Yes,12.0,Free use/illegal connections,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H15509-05-02
H1551001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15510-05-01
H1590201,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15902-05-01
H1590301,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15903-05-01
H1590401,Yes,24.0,Bill from power company,37.0,25000.0,30.0,No,,,,,Open fire,No,4.0,In a separate kitchen,H15904-05-01
H1590501,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15905-05-01
H1590701,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15907-05-01
H1590702,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H15907-05-02
H1590801,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H15908-05-01
H1590901,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15909-05-01
H1590902,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H15909-05-02
H1590903,No,,,,,,No,,,,,Open fire,Yes,4.0,In a separate kitchen,H15909-05-03
H1591001,No,,,,,,No,,,,,Open fire,No,1.0,In an outdoor space,H15910-05-01
H1620102,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16201-05-02
H1620201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16202-05-01
H1620301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16203-05-01
H1620302,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16203-05-02
H1620401,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H16204-05-01
H1620501,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H16205-05-01
H1620601,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16206-05-01
H1620701,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H16207-05-01
H1620702,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16207-05-02
H1620801,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H16208-05-01
H1620802,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H16208-05-02
H1620901,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16209-05-01
H1621001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16210-05-01
H1630201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16302-05-01
H1630202,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16302-05-02
H1630203,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16302-05-03
H1630401,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H16304-05-01
H1630501,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H16305-05-01
H1630502,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16305-05-02
H1630503,No,,,,,,No,,,,,Open fire,No,1.0, In a room in the dwelling not just devoted to cooking,H16305-05-03
H1630601,Yes,24.0,Other (specify),,30000.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H16306-05-01
H1630701,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H16307-05-01
H1630801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16308-05-01
H1630802,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16308-05-02
H1631001,No,,,,,,No,,,,,Charcoal,No,5.0,In an outdoor space,H16310-05-01
H1640101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16401-05-01
H1640201,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16402-05-01
H1640301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16403-05-01
H1640401,No,,,,,,No,,,,,Charcoal,No,5.0,In a separate kitchen,H16404-05-01
H1640501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16405-05-01
H1640502,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16405-05-02
H1640601,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16406-05-01
H1640701,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16407-05-01
H1640702,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16407-05-02
H1640703,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16407-05-03
H1640801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16408-05-01
H1640901,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16409-05-01
H1640902,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16409-05-02
H1640903,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16409-05-03
H1640904,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16409-05-04
H1641001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16410-05-01
H1650101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16501-05-01
H1650102,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16501-05-02
H1650201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H16502-05-01
H1650301,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16503-05-01
H1650501,No,,,,,,No,,,,,Open fire,No,12.0,In a separate kitchen,H16505-05-01
H1650502,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16505-05-02
H1650503,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16505-05-03
H1650504,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16505-05-04
H1650505,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16505-05-05
H1650601,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H16506-05-01
H1650701,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H16507-05-01
H1650702,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H16507-05-02
H1650801,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H16508-05-01
H1650901,No,,,,,,No,,,,,Open fire,Yes,6.0,In a separate kitchen,H16509-05-01
